n1,n2,n3,n4,eng
lani8a2i,laani8aa2i,,,infinite
mdikori,,,,decorative
kammi,,,,quantitative
mtnaasb,,,,proportional
biro9raTi,,,,bureaucratic
kayghir,,,,jealous
khayali,,,,fancy
mghyar,,,,jealous
ldid,,,,delicious
bayn,,,,obvious
mftou7,meftou7,,,open
sad,sadd,,,closed
mesdoud,msdoud,msdod,,closed
m7loul,m7lol,me7loul,me7lol,open
ghaleT,ghaaleT,,,wrong
mbeddel,mbddl,,,different
S7i7,,,,strong
mwellef,,,,used to
mriguel,,,,cunning
dayekh,,,,dizzy
mdowwakh,,,,dizzy
mberrer,mbrrer,mberrar,,justified
mrtabT,mrtabeT,mertabeT,mertabT,engaged
mol8im,molhim,,,inspiring
mchttet,mchettat,mchattet,mchettet,sparse
3aDim,3aDym,3aDiim,,mighty
boul7ya,bol7ya,boul7ia,bol7ia,beardy
zayd,zaid,,,extra
khari9,khaari9,5ari9,kahriq,miraculous
stitna2i,istitna2i,stitnaa2i,istitnaa2i,exceptional
fransawi,fransaoui,,,french
sblyoni,sbelioni,sbalioni,,spanish
mirikani,,,,american
chinwi,,,,chinese
3rbi,3arbi,3erbi,3arabi,arab
mkhbbi,mkhebbi,mkhabbi,,hidden
mti99en,mtye99en,mtya99an,mtya99en,sure
