"masculine","feminine","masc_plural","fem_plural"
"msawi","msawia","msawyin","msawyat"
"kafi","kafia","kafyin",""
"dimo9raTi","dimo9raTia","dimo9raTiyin","dimo9raTiat"
"chr9i","chr9ia","chr9iyin","chr9yyat"
"8ad2","8ad2a","8ad2in","8ad2at"
"t3limi","t3limia","t3limia",""
"3ilmi","3ilmia","3ilmiyin","3ilmiat"
"adabi","adabia","adabiyin","adabyyat"
"39li","39lia","39liyin","39liat"
"khaTir","khaTira","khaTirin","khaTirat"
"7arij","7arija","7arijin","7arijat"
"mDobl","mDobla","mDoblin","mDoblat"
"sri3","sri3a","sri3in","sri3at"
"mamo7tamalch","mamo7tamalach","mamo7tamalinch","mamo7tamalatch"
"m2lof","m2lofa","m2lofin","m2lofat"
"tarikhi","tarikhia","tarikhiyin","tarikhiat"
"janoubi","janoubia","janoubiyin","janoubyyat"
"mitaali","mitaalia","mitaaliyin","mitaaliat"
"mSro3","mSro3a","mSro3in","mSro3at"
"yawmi","yawmia","yawmiyin","yawmiat"
"mota7rrir","mota7rrira","mota7rririn","mota7rrirat"
"liberali","liberalia","liberaliyin","liberaliat"
"7aDari","7aDaria","7aDariyin","7aDariat"
"fogani","fogania","foganiyin","foganiat"
"bayn","bayna","baynin","baynat"
"khaD3","khaD3a","khaD3in","khaD3at"
"sghiwwer","sghiwwra","sghiwwrin","sghiwwrat"
"mDwwi","mDwwia","mDwwiyin","mDwwiat"
"akhla9i","akhla9ia","akhla9iyin","akhla9iat"
"badil","badila","bada2il","badilat"
"jddab","jddaba","jddabin","jddabat"
"radd lbal","radda lbal","raddin lbal","raddat lbal"
"7ayawi","7ayawia","7ayawiyin","7ayawiat"
"8amaji","8amajia","8amajiyin","8amajiat"
"khawi","khawia","khawyin","khawyat"
"damawi","damawia","damawiyin","damawiat"
"khariji","kharijia","kharijiyin","kharijiat"
"charf","charfa","chrraf","charfat"
"nisbi","nisbia","nisbiyin","nisbyyat"
"9dim","9dima","9dam","9dimat"
"mkhtaSr","mkhtaSra","mkhtaSrin","mkhtaSrat"
"namoudaji","namoudajia","namoudajiyin","namoudajiat"
"mtisse3","mtiss3a","mtiss3in","mtiss3at"
"mDyye9","mDyy9a","mDyy9in","mDyy9at"
"kollo","kollha","kollhom",""
"ra2i3","ra2i3a","ra2i3in","ra2i3at"
"tabt","tabta","tabtin","tabtat"
"mitali","mitalia","mitaliyin","mitaliat"
"akadimi","akadimia","akadimiyin","akadimyyat"
"9aaSer","9aaSera","9aaSerin","9aaSerat"
"mamo8immch","mamo8immach","mamo8imminch","mamo8immatch"
"naadir","nnadira","naadirin","naadirat"
"7aadd","7aadda","7aaddin","7aaddat"
"daym","dayma","daymin","daymat"
"ra8iib","ra8iiba","ra8iibin","ra8iibat"
"mriD","mriDa","mraD","mriDat"
"ghliD","ghliDa","ghlaD","ghliDat"
"maSiiri","maSiiria","maSiiriyin","maSiiriat"
"daakhili","daakhilia","daakhiliyin","daakhiliat"
"taab3","taab3a","taab3in","taab3at"
"mo3aSir","mo3aSira","mo3aSirin","mo3aSirat"
"taanawi","taanawia","taanawiyin","taanawiat"
"8aa2il","8aa2ila","8aa2ilin","8aa2ilat"
"7aadd","7aadda","7aaddin","7aaddat"
"choyou3i","choyou3ia","choyou3iyin","choyou3iat"
"Saafi","Saafia","Saafiyin","Saafiat"
"mTwwel","mTwwla","mTwwlin","mTwwlat"
"modnib","modniba","modnibin","modnibat"
"chaamil","chaamila","chaamilin","chaamilat"
"Dakhm","Dakhma","Dakhmin","Dakhmat"
"7eyy","7eyya","7eyyin","7eyyat"
"zira3i","zira3ia","zira3iyin","zira3iat"
"mz8ar","mz8ara","mz8arin","mz8arat"
"3orfi","3orfia","3orfiyin",""
"taTwwo3i","taTwwo3ia","taTwwo3ia",""
"mtTowwe3","mtToww3a","mtToww3in","mtToww3at"
"dramatiki","dramatiki","dramatikiyin","dramatikiat"
"mo299at","mo299ata","mo299atin","mo299atat"
"da8abi","da8abia","da8abiyin","da8abiat"
"7ibbi","7ibbia","7ibbiyin","7ibbiat"
"m3tamd","m3tamda","m3tamdin","m3tamdat"
"tanaafosi","tanaafosia","tanaafosia",""
"jdri","jdria","jdriyin","jdriat"
"7ssas","7ssasa","7ssasin","7ssasat"
"khaarj","khaarja","khaarjin","khaarjat"
"msTTe7","msTT7a","msTT7in","msTT7at"
"3aaTifi","3aaTifia","3aaTifiyin","3aaTifiat"
"khaT2","khaT2a","khaT2in","khaT2at"
"Si77i","Si77ia","Si77iyin","Si77yyat"
"idaari","idaaria","idaariyin","idaariat"
"skkouti","skkoutia","skkoutiyin","skkoutiat"
"7edd","","7odooud",""
"D3if","D3ifa","D3af","D3ifat"
"ml7ouD","ml7ouDa","ml7ouDin","ml7ouDat"
"sirri","sirria","sirriyin","sirriat"
"3ziz","3ziza","3zaz","3zizat"
"jama3i","jama3ia","jama3iyin","jama3iat"
"jtima3i","jtima3ia","jtima3iyin","jtima3iat"
"fazg","fazga","fazgin","fazgat"
"mt2elle9","mt2ll9a","mt2ll9in","mt2ll9at"
"electroni","electronia","electroniyin","electroniat"
"moTla9","moTla9a","moTla9in","moTla9at"
"kaytchaf","kattchaf","kaytchafo",""
"Saarim","Saarima","Saarimin","Saarimat"
"kimya2i","kimya2ia","kimya2iyin","kimya2yyat"
"saami","saamia","saamyin","saamyat"
"fas","","fo2ous",""
"khaaliS","khaaliSa","khaaliSin","khaaliSat"
"","d9i9a","","d9ay9"
"","wafat","","wafayat"
"nfijar","","nfijarat",""
"Darf","","Dorouf",""
"khrouf","n3ja","khrfan","n3aj"
"mo7ami","mo7amia","mo7amiyin","mo7amiat"
"li9a7","","li9a7at",""
"","monasaba","","monasabat"
"","3in","","3inin"
"","sm2ala","masa2il",""
"","jarida","jara2id",""
"iDrab","","iDrabat",""
"","Soura","Sowar",""
"jtima3","","jtima3at",""
"mech","mechcha","mchach","mchchat"
"kelb","kelba","klab","klbat"
"babbagha2","","babbaghawat",""
"","bTTa","","bTTat"
"tmrin","","tamarin",""
