"n1","n2","n3","n4","n5","n6","eng"
"f7eS","","","","","","inspect"
"Sdder","","","","","","export"
"le77","","","","","","urge"
"stentej","","","","","","induce"
"sedd","","","","","","lock"
"3reD","","","","","","exhibit"
"skhkhen","skhen","s55en","","","","warm"
"dffa","deffa","","","","","warm"
"3tarf","","","","","","confess"
"sme7","","","","","","tolerate"
"Tmmer","","","","","","tolerate"
"tselle9","","","","","","mount"
"mse7","","","","","","brush"
"ntej","","","","","","reproduce"
"khDe3","","","","","","undergo"
"b8er","","","","","","impress"
"nkhafD","","","","","","decline"
"frek","","","","","","rub"
"wkkel","","","","","","cater"
"dar","","","","","","tour"
"wzze3","","","","","","distribute"
"7ess","","","","","","sense"
"khlleS","","","","","","repay"
"rjje3","","","","","","regain"
"sta3aad","","","","","","regain"
"9ellel","","","","","","minimize"
"w99ef","","","","","","halt"
"chkkel","","","","","","shape"
"z3ej","","","","","","disturb"
"3eDD","3aDD","3DD","","","","bite"
"t9ddem","","","","","","progress"
"kerres","karres","krrs","","","","devote"
"stafzz","stafezz","","","","","provoke"
"Tem2en","","","","","","reassure"
"t2emmel","","","","","","contemplate"
"7dder","","","","","","alert"
"tfa3el","tfa3l","","","","","interact"
"skhkhen","skhen","","","","","heat"
"btaker","","","","","","devise"
"7kem","","","","","","govern"
"3aan9","3an9","","","","","embrace"
"3zza","","","","","","comfort"
"7jez","","","","","","seize"
"dowweb","","","","","","melt"
"zad","","","","","","supplement"
"ttekka","","","","","","lean"
"Tbbe9","","","","","","exert"
"7tars","7tares","","","","","beware"
"tchab8","tchaab8","tchabh","tchabeh","tchabe8","","resemble"
"mne3","","","","","","abolish"
"tjowwej","tjwwj","tjowej","tzowej","tzwwj","","wed"
"8rres","","","","","","crack"
"9me3","","","","","","suppress"
"gabl","","","","","","guard"
"faje2","faaj2","faj2","faaje2","","","surprise"
"tredded","","","","","","hesitate"
"ch7en","","","","","","load"
"sreT","","","","","","swallow"
"bda","","","","","","initiate"
"Tfaa","","","","","","float"
"2etter","","","","","","effect"
"t7ekkem","","","","","","manipulate"
"rde3","","","","","","deter"
"rtabeT","","","","","","associate"
"adaar","","","","","","administer"
"9tel","","","","","","murder"
"taabr","","","","","","persist"
"7eyya","","","","","","greet"
"dmme3","","","","","","tear"
"Taared","","","","","","hunt"
"fsed","","","","","","spoil"
"sTTer","","","","","","line"
"baark","","","","","","bless"
"khtar9","","","","","","penetrate"
"Daa3ef","","","","","","multiply"
"dmej","","","","","","merge"
"derreb","","","","","","coach"
"jeff","jffef","","","","","drain"
"stenzef","stnzef","","","","","drain"
"kfa","","","","","","suffice"
"ftarD","","","","","","presume"
"Syyed","","","","","","fish"
"t9dda","","","","","","shop"
"tsab9","","","","","","race"
"chrref","","","","","","honor"
"jemmed","","","","","","freeze"
"daawa","","","","","","cure"
"3alj","","","","","","cure"
"tbadel","","","","","","swap"
"t7emmel","","","","","","endure"
"Taard","","","","","","chase"
"ste8lek","","","","","","consume"
"khcha","","","","","","insert"
"tsenna","","","","","","await"
"njarf","","","","","","drift"
"bddel","","","","","","substitute"
"steslem","","","","","","surrender"
"ziyyer","","","","","","wind"
"9elleS","","","","","","contract"
"miyyez","","","","","","differentiate"
"3len","","","","","","advertise"
"Saal7","","","","","","reconcile"
"tSowwer","","","","","","project"
"nsse9","","","","","","co-ordinate"
"frg3","","","","","","snap"
"l3en","","","","","","damn"
"Teyyeb","","","","","","bake"
"Twa","","","","","","fold"
"tnazl","","","","","","concede"
"jdded","","","","","","renew"
"Saagh","","","","","","formulate"
"khelleT","","","","","","confuse"
"7edd","","","","","","maximize"
"mse7","","","","","","sweep"
"wjjeh","","","","","","steer"
"rkkez","","","","","","base"
"tsa8el","","","","","","indulge"
"khffeD","","","","","","decrease"
"7jez","","","","","","reserve"
"rezerva","","","","","","reserve"
"st9bel","","","","","","host"
"tTowwer","","","","","","evolve"
"r3a","","","","","","foster"
"3ggez","","","","","","discourage"
"Towwe9","","","","","","curb"
"khSSeS","","","","","","allocate"
"chref","","","","","","supervise"
"tlacha","","","","","","fade"
"d3em","","","","","","endorse"
"adaan","","","","","","condemn"
"7jez","","","","","","book"
"Sle7","","","","","","reform"
"kmmel","","","","","","complement"
"3a9b","","","","","","punish"
"frg3","","","","","","bang"
"st3reD","","","","","","outline"
"9ellel","","","","","","diminish"
"saad","","","","","","prevail"
"n99ez","","","","","","leap"
"lwa","","","","","","wrap"
"tfa8em","","","","","","compromise"
"n8aar","","","","","","collapse"
"raab","","","","","","collapse"
"7ma","","","","","","safeguard"
"mne3","","","","","","inhibit"
"ghowwet","","","","","","scream"
"twa3d","","","","","","date"
"mse7","","","","","","delete"
"799e9","","","","","","attain"
"kre8","","","","","","dislike"
"tSowwer","","","","","","conceive"
"mla","","","","","","dictate"
"w77ed","","","","","","unite"
"stowred","","","","","","import"
"bna","","","","","","rebuild"
"zda8er","","","","","","flourish"
"nta9ed","","","","","","criticize"
"Tiyyeb","","","","","","boil"
"ghla","","","","","","boil"
"8reb","","","","","","flee"
"bda","","","","","","commence"
"mde7","","","","","","praise"
"blaSa","","","","","","park"
"miyyez","","","","","","discriminate"
"tbe3","","","","","","track"
"Towwe9","","","","","","enclose"
"9aabel","","","","","","interview"
"chedded","","","","","","tighten"
"lowwen","","","","","","color"
"ghaamer","","","","","","venture"
"khemmen","","","","","","speculate"
"9edder","","","","","","speculate"
"ghader","","","","","","depart"
"9aaTe3","","","","","","interrupt"
"mowwe8","","","","","","disguise"
"ntakheb","","","","","","elect"
"t7emmel","","","","","","withstand"
"kbe7","","","","","","restrain"
"nma","","","","","","thrive"
"3awed","","","","","","echo"
"n7arf","","","","","","divert"
"9la","","","","","","fry"
"dab","","","","","","dissolve"
"3ddel","","","","","","edit"
"jmme3","","","","","","assemble"
"khrreb","","","","","","ruin"
"srre3","","","","","","accelerate"
"tSower","","","","","","envisage"
"8enne2","","","","","","congratulate"
"staredd","","","","","","retrieve"
"8beT","","","","","","descend"
"wggef","","","","","","suspend"
"jerreb","jrreb","jrrb","jerrab","","","experiment"
"khle3","","","","","","frighten"
"9oulb","","","","","","fool"
"al8am","","","","","","inspire"
"chaafa","","","","","","heal"
"DbeT","","","","","","master"
"kemmel","","","","","","terminate"
"3ddel","","","","","","amend"
"khdech","","","","","","scratch"
"stelzem","","","","","","entail"
"nffed","","","","","","execute"
"3dem","","","","","","execute"
"wTTed","","","","","","consolidate"
"dowwer","","","","","","round"
"3zel","","","","","","isolate"
"berrer","","","","","","warrant"
"D33ef","","","","","","weaken"
"tmechcha","","","","","","march"
"bgha","","","","","","desire"
"wsse3","","","","","","widen"
"drdech","","","","","","chat"
"rkeb","","","","","","board"
"khtar3","","","","","","invent"
"Sne3","","","","","","manufacture"
"sedd","","","","","","seal"
"raaj3","","","","","","reconsider"
"mSS","","","","","","suck"
"Sowwer","","","","","","picture"
"STadem","","","","","","crash"
"frchekh","","","","","","crash"
"n9el","","","","","","transport"
"bloka","","","","","","plug"
"3iyyen","","","","","","assign"
"stfser","","","","","","inquire"
"Syyed","","","","","","trap"
"dowwer","","","","","","surround"
"tna9ch","","","","","","debate"
"Towwer","","","","","","upgrade"
"zyyen","","","","","","decorate"
"jme3","","","","","","accumulate"
"staghell","","","","","","profit"
"wret","","","","","","inherit"
"khrbe9","","","","","","disrupt"
"khne9","","","","","","choke"
"daaf3","","","","","","plead"
"ghmmes","","","","","","dip"
"chtark","","","","","","subscribe"
"3llem","","","","","","educate"
"Tlle9","","","","","","divorce"
"ghzel","","","","","","spin"
"chowwech","","","","","","obscure"
"tsellel","","","","","","creep"
"7rref","","","","","","twist"
"mzej","","","","","","blend"
"raaj3","","","","","","revise"
"nseb","","","","","","attribute"
"nfajer","","","","","","explode"
"sken","","","","","","dwell"
"khffef","","","","","","alleviate"
"3alj","","","","","","remedy"
"rched","","","","","","instruct"
"tserreb","","","","","","spill"
"f8em","","","","","","comprehend"
"rTTeb","","","","","","soften"
"chiyyer","","","","","","wave"
"sToka","stoka","","","","","stock"
"wDe3","","","","","","position"
"2emmen","","","","","","insure"
"nkharT","","","","","","adhere"
"tchbbet","","","","","","cling"
"sted3a","","","","","","summon"
"wgf","","","","","","pause"
"w9ef","","","","","","pause"
"khwa","","","","","","empty"
"rtteb","","","","","","classify"
"t7emmel","","","","","","afford"
"tsme3","","","","","","sound"
"n99eT","","","","","","grade"
"rje3","","","","","","revert"
"9iyyem","","","","","","value"
"jaaza","","","","","","award"
"kaf7","","","","","","strive"
"bllegh","","","","","","notify"
"Tfa","","","","","","turn off"
"ryye7","riye7","ryy7","","","","sit down"
"ghech","ghechch","ghch","ghach","","","cheat"
"9chcher","9cher","qcher","qchcher","9chchar","","peel"
