english,darija,darija_ar
What's interesting to see?,achno li kayn maytchaf?,أشنو لي كاين مايتشاف? 
The art gallery is interesting.,lm3riD lfenni fih maytchaf.,لمعريض لفنّي فيه مايتشاف. 
They have a special exihibition at the moment on Vincent Van Gogh.,3ndhom wa7d l3arD khaSS daba 3la Vincent Van Gogh.,عندهوم واحد لعارض خاصّ دابا علا ڤينسنت ڤان ڭوغ. 
Or you could visit the cathedral.,wla ymken lik tzoud lkanissa.,ولا يمكن ليك تزود لكانيسّا. 
Where the art and the cathedral are located.,fine kayn lm3riD o lkanissa.,فين كاين لمعريض أُ لكانيسّا. 
Is it far from here?,wach b3id men hna?,واش بعيد من هنا? 
The art gallery is just a hundred metres from the cafe.,lm3riD b3id b miyat mitro 3la l9hwa.,لمعريض بعيد ب مييات ميترو علا لقهوا. 
Turn left and you will find it.,Dour 3la liSr o ghadi tl9ah.,ضور علا ليصر أُ غادي تلقاه. 
The cathedral is a bit further.,lkanissa b3d chwia.,لكانيسّا بعد شويا. 
All right.,wakha.,واخا. 
What do you put in it?,achno derti fih?,أشنو درتي فيه? 
It's a special recipe.,hadi waSfa khaSSa.,هادي واصفا خاصّا. 
I'm not allowed to say!,ma3ndich l7e9 ngoul!,ماعنديش لحق نڭول! 
Can I get you something else instead?,bghiti njib chi 7aja khra blaStha?,بغيتي نجيب شي حاجا خرا بلاصتها? 
"No, thanks.","lla, chokran.","اللا, شوكران. "
Do you have any other special recipes here?,wach 3ndkom chi wSfat khaSSin w7din khrin hna?,واش عندكوم شي وصفات خاصّين وحدين خرين هنا? 
"Otherwise, I'd like a little sugar and a straw for my orange juice.","men ghir hadchi, bghit chwia dial skar o chi ppay l 3aSir dial limoun.","من غير هادشي, بغيت شويا ديال سكار أُ شي الپاي ل عاصير ديال ليمون. "
No other special recipes. Only coffee English style.,makayn ta wSfa khaSSa khra. ghir l9hwa b style dial ngliz.,ماكاين تا وصفا خاصّا خرا. غير لقهوا ب ستيل ديال نڭليز. 
Would you like to sit at a table and i will bring your orange juice over to you?,tbghi tguless f chi Tbla o njib lik l3aSir dial limoun?,تبغي تڭولسّ ف شي طبلا أُ نجيب ليك لعاصير ديال ليمون? 
"Yes, thank you.","ayeh, chokran.","أيه, شوكران. "
Right I'll do that and then I need to serve the customer who has just come in.,Safi dakchi li ghadi ndir o men b3d ghadi ykhSni nmchi nserbi l klian li yallah ja daba.,صافي داكشي لي غادي ندير أُ من بعد غادي يخصني نمشي نسربي ل كليان لي يالّاه جا دابا. 
I hope you enjoy the orange juice and get to see the art gallery.,ntmenna y3jbek l3aSir dial limoun o tmchi tchouf lm3riD lfenni.,نتمنّا يعجبك لعاصير ديال ليمون أُ تمشي تشوف لمعريض لفنّي. 
"Hello my dear, it's been a while!","salam 7bibi, ghbourate hadi!","سالام حبيبي, غبورات هادي! "
"Oh, how nice of you to come to me!","oh, chokran bezzaf 7it jiti 3ndi!","أُه, شوكران بزّاف حيت جيتي عندي! "
"It's true, it's been a long time.","bessa7, w9t twil hada.","بسّاح, وقت تويل هادا. "
How are you?,chkon nta?,شكون نتا? 
You look great!,rak mnouwer!,راك منوور! 
I don't feel so great though sadly.,makan7esch brassi bikhir lil assaf.,ماكانحسش براسّي بيخير ليل أسّاف. 
I am not as young as I used to be,mab9itch chab kif kent ch7al hada,مابقيتش شاب كيف كنت شحال هادا 
I feel like I'm starting to fall apart a bit,kan7ess brassi bdit kan9ej9el chwia.,كانحسّ براسّي بديت كانقجقل شويا. 
Do you know what I mean?,3refti ach kan9Sd?,عرفتي أش كانقصد? 
"Oh, yes, I can see that.","ayeeh, ban lia hadchi.","أييه, بان ليا هادشي. "
"You could move in here, in that retirement home, wouldn't you?","ymken lik t77ouwel hna, l had dar l3ajaza, wla lla?","يمكن ليك تحّوول هنا, ل هاد دار لعاجازا, ولا اللا? "
You think you'd like it?,kaDDen ghadi t3jbek?,كاضّن غادي تعجبك? 
"There's plenty of activities, and the staff is very nice.","kaynin bezzaf dial l anshiTa, o nnass li kheddamin hna driyfine.","كاينين بزّاف ديال ل أنسهيطا, أُ الناسّ لي خدّامين هنا درييفين. "
"Especially Amina, she's my favorite.","khoSoSan Amina, hia li 3ziza 3lia.","خوصوصان أمينا, هيا لي عزيزا عليا. "
"Oh yes, I met Amina on my way in, she did seem very nice","ayeeh, tla9it m3a Amina fach kent jay, katban llah y3emmerha dar","أييه, تلاقيت معا أمينا فاش كنت جاي, كاتبان اللاه يعمّرها دار "
Maybe I should look into it,daba nfekker f hadchi,دابا نفكّر ف هادشي 
I still like having my independence though,mazal 3ajbni nkon msta9el Sara7a,مازال عاجبني نكون مستاقل صاراحا 
And my son Jilali still helps out as much as he can,o wldi jjilali mazal kay3awenni b jehdo kaml,أُ ولدي الجيلالي مازال كايعاونّي ب جهدو كامل 
Do you remember Jilali?,t39el 3la jjilali?,تعقل علا الجيلالي? 
"Of course, I still have my head, you know!","b Tabi3t l7al, rani mazal chad f rassi!","ب طابيعت لحال, راني مازال شاد ف راسّي! "
"But it must take him some time, to take care of you.","walakin aykon kaydi lih lw9t bezzaf, bach y9ablek.","والاكين أيكون كايدي ليه لوقت بزّاف, باش يقابلك. "
"And here, there's everything you need!","o hna, kayn ga3 dakchi li m7taj!","أُ هنا, كاين ڭاع داكشي لي محتاج! "
"You see movies, you participate in games, there's a library...","katferej fl aflam, katchark fl al3ab, o kayna mktaba...","كاتفرج فل أفلام, كاتشارك فل ألعاب, أُ كاينا مكتابا... "
And meals are pretty good.,o lmakla hna meziana.,أُ لماكلا هنا مزيانا. 
"But you know me, I'm demanding on the kitchen!","walakin rak 3arfni, kantcherreT bezzaf fl makla!","والاكين راك عارفني, كانتشرّط بزّاف فل ماكلا! "
"Oh yes, I remember that!","ayeh, 3a9l 3la hadchi!","أيه, عاقل علا هادشي! "
You always were!,men dima o nta hakka!,من ديما أُ نتا هاكّا! 
What is your favourite meal that they make?,achnahia l makla lmofeDala dialk li kaySaybo?,أشناهيا ل ماكلا لموفضالا ديالك لي كايصايبو? 
Or should I say that you make them make!,wla khaSni ngoul lli katfreD 3lihom ySaybo lik!,ولا خاصني نڭول اللي كاتفرض عليهوم يصايبو ليك! 
Chicken Tajine with potato and olives.,Tajine dial bTaTa o zzitoun.,طاجين ديال بطاطا أُ الزيتون. 
"It's hard to cook the chiken, especially when you make a lot of people for a lot of people, but here, the cook can do very well!","S3ib Tiyeb djaj, khoSoSan ila kenti kaTiyeb kimmia ktira l bezzaf dial nass, walakin hna, TTebakh kayt9en chghlo!","صعيب طييب دجاج, خوصوصان إلا كنتي كاطييب كيمّيا كتيرا ل بزّاف ديال ناسّ, والاكين هنا, الطباخ كايتقن شغلو! "
"Oh that does sound good, and quite fancy for a retirement home","Oh hadchi kayferre7, o mberre3 b nisba l dar l3ajaza","أُه هادشي كايفرّح, أُ مبرّع ب نيسبا ل دار لعاجازا "
I had thought it would all be bowls of watery soup and dry crackers!,kan kay7sab lia wach ghadi y3Tiwna ghir Sobba o lkhobz 9as7!,كان كايحساب ليا واش غادي يعطيونا غير صوبّا أُ لخوبز قاسح! 
And you know how much I like butter and cheese and tasty foods,o rak 3arf ch7al 3ziza 3lia zzebda o lformaj o lmakla lbnina,أُ راك عارف شحال عزيزا عليا الزبدا أُ لفورماج أُ لماكلا لبنينا 
Yes!,ayeh!,أيه! 
"My neighbor Kamal only eats bowls of soup, that's true.","jari kamal kayakkol ghir Sobba, hadi kayna.","جاري كامال كاياكّول غير صوبّا, هادي كاينا. "
"But that's because he has no teeth, the poor old.","walakin rah 7it ma3ndo snan, mskin.","والاكين راه حيت ماعندو سنان, مسكين. "
"I've got almost all my teeth, I'm lucky!","mazal 3ndi snani kamlin t9riban, hamdollah!","مازال عندي سناني كاملين تقريبان, هامدولّاه! "
Do you want to go to the living room for a cup of tea?,bghiti tmchi l Salon ncherbo chi kass dial atay?,بغيتي تمشي ل صالون نشربو شي كاسّ ديال أتاي? 
I have always admired your full set of teeth,men dima wana kay3jboni snank,من ديما وانا كايعجبوني سنانك 
Especially at our ages!,khoSoSan fl3mer dialk!,خوصوصان فلعمر ديالك! 
What a good idea,fikra zina hadi,فيكرا زينا هادي 
Let's go have some tea,yallah nemchiw ncherbo atay,يالّاه نمشيو نشربو أتاي 
Beautiful.,jmil.,جميل. 
"Plus, they have good cakes.","o men lfo9, 3ndhom kikat ldad.","أُ من لفوق, عندهوم كيكات لداد. "
And it's free!,o fabor!,أُ فابور! 
"I mean, given what it costs me every month, luckily it's free.","kan9Sd, ila chefna ch7al kankheleS kolla chher, hamdollah annahom fabor.","كانقصد, إلا شفنا شحال كانخلص كولّا شهر, هامدولّاه أنّاهوم فابور. "
"As soon as I get up, let's go!","ghir nnod, nmchiw!","غير النود, نمشيو! "
I can give Amina a shout to get the chair,ymken n3iyet 3la Amina bach tjib lkorsi,يمكن نعييت علا أمينا باش تجيب لكورسي 
"It's been 15 minutes since I've seen her, I miss her!","chi 15 l da9i9a hadi bach cheftha, twe7echtha!","شي 15 ل داقيقا هادي باش شفتها, توحشتها! "
Oh wow you really do like Amina a lot!,Oh wow 3ziza 3lik had Amina bezzaf!,أُه ووو عزيزا عليك هاد أمينا بزّاف! 
I think she might be a bit too young for you,kanDen raha Sghira 3lik chwia,كانضن راها صغيرا عليك شويا 
"I'm allowed to dream, don't I?","men 7e9i n7lem, wla lla?","من حقي نحلم, ولا اللا? "
Plus I thought you had secretly always loved me...,o men fog hadchi kan kay7sab lia wach katbghini f ssir...,أُ من فوڭ هادشي كان كايحساب ليا واش كاتبغيني ف السير... 
It's a secret!,hada sir!,هادا سير! 
You're not supposed to know!,makhaSSkch t3erfi!,ماخاصّكش تعرفي! 
But I have always known,walakin rani 3arfa men dima,والاكين راني عارفا من ديما 
"You have always been there, through my 5 previous failed marriages","rah kenti dima 7aDra, f 5 dial tjwijat diali lli maSd9ouch","راه كنتي ديما حاضرا, ف 5 ديال تجويجات ديالي اللي ماصدقوش "
You were always there to pick up the pieces,kenti dima 7adra bach t9aDDi l omor,كنتي ديما حادرا باش تقاضّي ل أُمور 
I always thought there would be more time,dima kent kangoul rah ghadi ykon lw9t kter,ديما كنت كانڭول راه غادي يكون لوقت كتر 
And that our time together would come when we were still young enough to enjoy it,o ghadi yji w9tna fach kenna mazal sghar bach ntber3o bih,أُ غادي يجي وقتنا فاش كنّا مازال سغار باش نتبرعو بيه 
I always thought the idea of growing old together sounded romantic,dima kant katjini lfikra dial ncherfo bjouj romansia,ديما كانت كاتجيني لفيكرا ديال نشرفو بجوج رومانسيا 
"But the reality is bit less romantic - it's mostly deafness, forgetfulness, and aches and pains.","walakin l7a9i9a a9al romansia - fiha tsmak, nesyan, o Sda3 o l alam.","والاكين لحاقيقا أقال رومانسيا - فيها تسماك, نسيان, أُ صداع أُ ل ألام. "
But it would be nice to do experience those things with someone else,walakin atkon zina annak t3ich hadchi m3a chi chakhS aakhar,والاكين أتكون زينا أنّاك تعيش هادشي معا شي شاخص اخار 
Here's Amina.,hahia Amina.,هاهيا أمينا. 
Let's go to tea!,yallah nmchiw ncherbo atay!,يالّاه نمشيو نشربو أتاي! 
We could get cake!,ymken ncheddo kika!,يمكن نشدّو كيكا! 
Lots of it!,bezzaaaf menha!,بزّااف منها! 
Are you going to invite a lot of people?,wach ghadi t3rD 3la bezzaf dial nnass?,واش غادي تعرض علا بزّاف ديال الناسّ? 
"Well, the thing is, the more people there are, the less cake there'll be for us!","lmohim, l9aDia hia, ch7al ma kano nnass ktar, ch7al mma atkon lkika 9lila 3ndna!","لموهيم, لقاضيا هيا, شحال ما كانو الناسّ كتار, شحال الما أتكون لكيكا قليلا عندنا! "
That's not a very religious idea!,hadi fikra machi dinia!,هادي فيكرا ماشي دينيا! 
Unless we ask them to bring some with them.,ma3ada ila guelna lihom yjibo chwia m3ahom.,ماعادا إلا ڭولنا ليهوم يجيبو شويا معاهوم. 
I know but it's my party so I decide!,3reft walakin hadi l7efla diali idan ana lli ghadi n9errer!,عرفت والاكين هادي لحفلا ديالي إدان أنا اللي غادي نقرّر! 
"Yeah, you could eat a cake all by yourself in your corner!","ayeh, t9der takol l7lwa kamla bou7dek fl 9niyet dialk!","أيه, تقدر تاكول لحلوا كاملا بوحدك فل قنييت ديالك! "
"Oh no, that's not very fun!","Oh lla, hadchi machi momti3!","أُه اللا, هادشي ماشي مومتيع! "
What do you suggest then?,achno kat9tare7 idan?,أشنو كاتقتارح إدان? 
You have to invite a lot of people and prepare a lot of cake for the party to be good.,khaSSk t3rD 3la bezzaf dial nass o tsayb bezzaf dial l7lwa bach tkon bikhir.,خاصّك تعرض علا بزّاف ديال ناسّ أُ تسايب بزّاف ديال لحلوا باش تكون بيخير. 
"By the way, I hope you didn't invite Rachid.","fekkertini, kantmenna matkonch 3rDti 3la Rachid.","فكّرتيني, كانتمنّا ماتكونش عرضتي علا راشيد. "
Oh... who should I invite?,Oh... o 3lamen khaSSni n3rD?,أُه... أُ علامن خاصّني نعرض? 
I don't have many friends except Rachid...,ma3ndich bezzaf dial l aSdi9a2 men ghir Rachid...,ماعنديش بزّاف ديال ل أصديقاء من غير راشيد... 
"I'm warning you, it's Rachid or me.","hani kan3lmek, imma Rachid imma ana.","هاني كانعلمك, إمّا راشيد إمّا أنا. "
Ok ok... then you can do the guest list.,wakha wakha... dir nta ga3 lla2i7a dial lm3roDin.,واخا واخا... دير نتا ڭاع اللاإحا ديال لمعروضين. 
I'll buy the decorations!,ghadi nchri decorassioun!,غادي نشري دكوراسّيون! 
"I thought I'd invite Rachida, you know her.","guelt n3rD 3la Rachida, kat3erfiha.","ڭولت نعرض علا راشيدا, كاتعرفيها. "
"Ok, if you want.","ayeh, ila bghiti.","أيه, إلا بغيتي. "
But only if she doesn't bring her dog with her.,walakin ghir ila makantch atjib m3aha lkelb dialha.,والاكين غير إلا ماكانتش أتجيب معاها لكلب ديالها. 
I can't stand the things!,makan9derch nsber l dakchi!,ماكانقدرش نسبر ل داكشي! 
You know without her dog she won't come,rak 3arf mat9derch tji bla kelbha,راك عارف ماتقدرش تجي بلا كلبها 
Ok but it'll have to stay outside.,wakha walakin tkhellih berra.,واخا والاكين تخلّيه برّا. 
I don't want it messing up the new carpet!,mabghitoch ykhesser lia zzerbia jjdida!,مابغيتوش يخسّر ليا الزربيا الجديدا! 
"We'll put it on the balcony, hopefully it'll jump!","ndiroh fl balcon, 3ellah yne99ez!","نديروه فل بالكون, علّاه ينقّز! "
That's horrible!,hadchi khayb!,هادشي خايب! 
No more horrible than Rex,machi khyeb men Rex,ماشي خيب من رش 
Do you not have lots of pets at home?,3lah ma3ndkch l7ayawanat l alifa f ddar?,علاه ماعندكش لحاياوانات ل أليفا ف الدار? 
I thought you did...,kan kay7sab lia 3ndek...,كان كايحساب ليا عندك... 
Take the basket.,khoud ssella.,خود السلّا. 
I'll grab the rabbit!,ghadi nched l9nia!,غادي نشد لقنيا! 
"You did say you liked rabbits, didn't you?","guelti 3ziz 3lik 9niat, wla lla?","ڭولتي عزيز عليك قنيات, ولا اللا? "
I'll take the basket if it's full!,ghadi nakhd ssella ila kant 3amra!,غادي ناخد السلّا إلا كانت عامرا! 
Almost.,t9riban.,تقريبان. 
But there's still some space for some more berries if you like.,walakin mazal chwia dial lblaSSa l chi chwia dial ttout ila bghiti.,والاكين مازال شويا ديال لبلاصّا ل شي شويا ديال التوت إلا بغيتي. 
"With pleasure, I like berries very much.","mer7ba, 3ziz 3lia ttout bezzaf.","مرحبا, عزيز عليا التوت بزّاف. "
More than rabbits!,kter men 9nia!,كتر من قنيا! 
But we should probably be heading back soon.,walakin khSna flghalib nrj3o f7alna.,والاكين خصنا فلغاليب نرجعو فحالنا. 
It's getting dark.,bda kayTi7 Dlam.,بدا كايطيح ضلام. 
"Yes, it is.","ayeh, kayna.","أيه, كاينا. "
Especially since we don't have a tent to shelter us,khoSoSan 7it ma3ndnach khima lli ghadi t7mina,خوصوصان حيت ماعندناش خيما اللي غادي تحمينا 
And it's getting a little cold.,o bda kaybred l7al chwia.,أُ بدا كايبرد لحال شويا. 
Do you want a scarf?,wach bghiti foular?,واش بغيتي فولار? 
I always bring several with me just in case.,dima kanjib m3aya bezzaf ma3rfti lw9t achno tjib.,ديما كانجيب معايا بزّاف ماعرفتي لوقت أشنو تجيب. 
And a couple of hats.,o chi chwia dial Trabch.,أُ شي شويا ديال طرابش. 
Ooh I even have some gloves!,Ooh o 3ndi 7ta chi Sebba3at!,وه أُ عندي حتا شي صبّاعات! 
"I'm not saying no for the scarf, because I'm really cold.","mangoulikch lla 3la lfoular, 7it rah nit fia lberd.","مانڭوليكش اللا علا لفولار, حيت راه نيت فيا لبرد. "
"Besides, I have a big cold, so I'd better cover for myself.","o men fo9 hadchi, Darbni lberd bezzaf, idan 7sen lia ngheTTi rassi.","أُ من فوق هادشي, ضاربني لبرد بزّاف, إدان حسن ليا نغطّي راسّي. "
I'll warm myself with your scarf!,ghadi nsekhen rassi bl foular dialk!,غادي نسخن راسّي بل فولار ديالك! 
Here you go!,hak!,هاك! 
And I might even have some biscuits...,o n9Der nakhd chi bimo...,أُ نقضر ناخد شي بيمو... 
Wait a sec,tsenna wa7d ttania,تسنّا واحد التانيا 
"No, sorry.","lla, sme7 lia.","اللا, سمح ليا. "
There are none left.,mab9a walo.,مابقا والو. 
Great.,ya salam.,يا سالام. 
"Ah, too bad.","Ah, lil assaf.","أه, ليل أسّاف. "
But I think I see a Thermos in the back of the basket.,walakin ymken bant lia chi Tirmos f llour dial ssella.,والاكين يمكن بانت ليا شي طيرموس ف اللور ديال السلّا. 
Is it full?,wach 3amra?,واش عامرا? 
Is it hot?,wach skhouna?,واش سخونا? 
There's hot water in it!,fiha lma sskhoun!,فيها لما السخون! 
And I had tea bags!,o 3ndi atay!,أُ عندي أتاي! 
We can make a little tea to warm up!,ndiro chi kwiyess dial atay nskhno bih!,نديرو شي كوييسّ ديال أتاي نسخنو بيه! 
And we could add some berries to give it some more flavour too!,o n9dro nzido chwia dial ttout bach nzido lmada9!,أُ نقدرو نزيدو شويا ديال التوت باش نزيدو لماداق! 
And I've decided to go all by myself to get away from it all.,o 9errert nmchi bou7di bach nbe33ed 3la kolchi.,أُ قرّرت نمشي بوحدي باش نبعّد علا كولشي. 
Do you fly often?,wach katrkeb f ttiyara bezzaf?,واش كاتركب ف التييارا بزّاف? 
Every week.,kolla simana.,كولّا سيمانا. 
My company is bi-located.,charika diali kayna f jouj blayS.,شاريكا ديالي كاينا ف جوج بلايص. 
"You'll see, it's very nice once we're up here.","hanta ghadi tchouf, lmenDer zwin fach ghadi nTl3o.","هانتا غادي تشوف, لمنضر زوين فاش غادي نطلعو. "
Do you really think so?,wach kaDen hadchi bessa7?,واش كاضن هادشي بسّاح? 
I'm scared looking out of my second-floor window at home!,kankhaf nchouf men cherjem diali f TTb9a tania f ddar!,كانخاف نشوف من شرجم ديالي ف الطبقا تانيا ف الدار! 
"I've never liked heights, and we're going to be very high up!","ma3mrni 3jbni l3lou, o ghadi nTl3o lfo9 bezzaf!","ماعمرني عجبني لعلو, أُ غادي نطلعو لفوق بزّاف! "
"The clouds, from above, it's like a sea of cotton.","s7ab, men lfo9, b7al chi b7er dial l9Ten.","سحاب, من لفوق, بحال شي بحر ديال لقطن. "
And the light is absolutely splendid.,o ddo ra2i3 bezzaf.,أُ الدو راإع بزّاف. 
I can't see the light.,makaybanch lia DDo.,ماكايبانش ليا الضو. 
I've got my eyes closed.,rani mghemmeD 3inia.,راني مغمّض عينيا. 
I don't like it.,ma3jbnich.,ماعجبنيش. 
Everything's starting to move!,kolchi bda kayt7errek!,كولشي بدا كايتحرّك! 
They'll be stopping by with the soda soon.,ghadi yjiw o yjibo lmonaDa men daba chwia.,غادي يجيو أُ يجيبو لموناضا من دابا شويا. 
You should ask for a glass of cola.,khass takhd chi kass dial koka.,خاسّ تاخد شي كاسّ ديال كوكا. 
"You wouldn't mind paying for me, would you?","machi mochkil 3ndek tkheleS 3lia, yak?","ماشي موشكيل عندك تخلص عليا, ياك? "
I can't really find my purse with my eyes closed...,maymkench lia nl9a bzTami b 3inia msdoudine...,مايمكنش ليا نلقا بزطامي ب عينيا مسدودين... 
I can see your bag.,ana kanchouf Sak dialk.,أنا كانشوف صاك ديالك. 
I'm just gonna take your credit card and pay for both of us and our next-door neighbor if you don't mind.,ghadi nakhd la carte bancaire dialk o nkhelleS 3lina bjouj o 3la jarna ila ma3ndkch mochkil.,غادي ناخد لا كارت بانكاير ديالك أُ نخلّص علينا بجوج أُ علا جارنا إلا ماعندكش موشكيل. 
What's the code for your credit card?,achnahowa l code dial la carte bancaire dialk?,أشناهووا ل كود ديال لا كارت بانكاير ديالك? 
No!,lla!,اللا! 
Don't do that!,maddirch hadchi!,مادّيرش هادشي! 
That's another reason I don't like flying!,kayn wa7d sabab akhor 3lach makan7mlch nrkb f Tiyara!,كاين واحد ساباب أخور علاش ماكانحملش نركب ف طييارا! 
You can never trust people in confined spaces!,maymkench lik tti9 f nnass fl blayss lmsdoudin!,مايمكنش ليك التيق ف الناسّ فل بلايسّ لمسدودين! 
But why do you talk to me?,o 3lach kathder m3aya?,أُ علاش كاتهدر معايا? 
"I didn't have much choice, did I?","makanch 3ndi lkhtiyar, wla lla?","ماكانش عندي لختييار, ولا اللا? "
"But, whilst you're here, could you go get me a glass of water perhaps?","walakin, ma7eddek hna, t9der tmchi tjib lia kass dial lma?","والاكين, ماحدّك هنا, تقدر تمشي تجيب ليا كاسّ ديال لما? "
And I might just forget what you just said about my credit card.,o n9der nsa hadchi li yallah guelti 3la l carte bancaire diali.,أُ نقدر نسا هادشي لي يالّاه ڭولتي علا ل كارت بانكاير ديالي. 
I'll get the stewardess out here.,ghadi n3iyet l moDifa hnaya.,غادي نعييت ل موضيفا هنايا. 
She'll bring you a glass of water.,ghadi tjib lik kass dial lma.,غادي تجيب ليك كاسّ ديال لما. 
Just relax.,ghir rta7.,غير رتاح. 
"Everything's gonna be okay,","kolchi ghadi ykon mezian,","كولشي غادي يكون مزيان, "
And there's always movies to change your mind.,o kayn dima aflam bach tbeddel ljow.,أُ كاين ديما أفلام باش تبدّل لجوو. 
It's been a while since we've been in the air.,ch7al hada o 7na f sma.,شحال هادا أُ حنا ف سما. 
We'll be there in five minutes.,ghadi nkono temma men daba khmsa dial d9ay9.,غادي نكونو تمّا من دابا خمسا ديال دقايق. 
You almost finished your first flight!,rak 9rib tsali awal tsafira lik f TTiyara!,راك قريب تسالي أوال تسافيرا ليك ف الطييارا! 
Thank you so much.,chokran bezzaf.,شوكران بزّاف. 
And thank you for the chocolate I took out of your bag whilst you weren't looking.,o chokran 3la choklaT lli khdit lik men SSac fach makentich katchouf.,أُ شوكران علا شوكلاط اللي خديت ليك من الصاك فاش ماكنتيش كاتشوف. 
It was absolutely delicious.,kan dakchi ldid bezzaf.,كان داكشي لديد بزّاف. 
Flying isn't so bad!,TTayaran makhaybch bezzaf!,الطاياران ماخايبش بزّاف! 
It was chocolate laxative!,rah kan chokolat kaydir shal!,راه كان شوكولات كايدير سهال! 
"You haven't eaten it, have you?","maklitihch, yak?","ماكليتيهش, ياك? "
I think I'm gonna have to switch places...,kayban lia ghadi ykhSni ndeddel lblaSa...,كايبان ليا غادي يخصني نددّل لبلاصا... 
It's a shame I've got the aisle seat.,lil 2assaf kan 3ndi lkorsi li f l couloir.,ليل أسّاف كان عندي لكورسي لي ف ل كولور. 
"Well.... Good morning, Doctor.","iwa.... sba7 lkhir, doctor.","إوا.... سباح لخير, دوكتور. "
Good morning.,sba7 lkhir.,سباح لخير. 
How are you feeling today?,ki kat7ess lyouma?,كي كاتحسّ ليوما? 
Great--I did it!,bikhir--dertha!,بيخير--درتها! 
I left him!,tfre9t m3ah!,تفرقت معاه! 
You finally split up with your boyfriend?,tfar9ti akhiran m3a sa7bek?,تفارقتي أخيران معا ساحبك? 
And how are you feeling?,o ki kat7essi?,أُ كي كاتحسّي? 
Free?,7orra?,حورّا? 
Relieved?,mrta7a?,مرتاحا? 
My 'friend' hahahaha, 'sa7bi' hahahaha,'ساحبي' هاهاهاها 
"He was my husband, but my friend?","kan rajli, walakin sa7bi?","كان راجلي, والاكين ساحبي? "
"You know, he thought I didn't know what him and Maryam were doing when they said they were playing handball...","3refti, kan kay7sab lik makentch 3arfah ach kaydir howa o Maryam fach kano kaygoulo lia rah kayl3bo l hond...","عرفتي, كان كايحساب ليك ماكنتش عارفاه أش كايدير هووا أُ ماريام فاش كانو كايڭولو ليا راه كايلعبو ل هوند... "
"He's young, but that doesn't excuse his selfishness.","mazal chab, walakin hadchi makaychfe3ch lih 3la dik l anania dialo.","مازال شاب, والاكين هادشي ماكايشفعش ليه علا ديك ل أنانيا ديالو. "
"And most importantly, this relationship was hurting you.","o aham men hadchi, had l3ala9a kant kaDDerek.","أُ أهام من هادشي, هاد لعالاقا كانت كاضّرك. "
"But you didn't answer me, how do you feel now, after leaving him?","walakin majawbtinich, kikat7essi daba, mora ma tfar9ti m3ah?","والاكين ماجاوبتينيش, كيكاتحسّي دابا, مورا ما تفارقتي معاه? "
As I said in the beginning: great!,kifma guelt lik flowl: bikhir!,كيفما ڭولت ليك فلوول: بيخير! 
"You know, you listen to me more than he ever did... I think that's why I've always been so attached to you.","3rfti, nta katsenneT lia 7sen menno howa... kanDen hadchi 3lach men dima nta 3ziz 3lia.","عرفتي, نتا كاتسنّط ليا حسن منّو هووا... كانضن هادشي علاش من ديما نتا عزيز عليا. "
"Be careful, I'm only your psychiatrist!","7di rask, ana ghir Tbib nfsani dialk!","حدي راسك, أنا غير طبيب نفساني ديالك! "
What do you think you know exactly?,achno kay7sab lik kat3rfi b DebT?,أشنو كايحساب ليك كاتعرفي ب ضبط? 
I know that's not true.,ana 3arf anna hadchi machi beSSa7,أنا عارف أنّا هادشي ماشي بصّاح 
Why do you think I left him?,3lach kay7sab lik khellito?,علاش كايحساب ليك خلّيتو? 
It was so that we could be together.,kan hadchi bach nkono m3a b3Diyatna,كان هادشي باش نكونو معا بعضيياتنا 
Are you going to pretend that you haven't been doing what you've been doing these past three years that I've been in therapy with you?,wach ghadi dir rask annak makentich kaddir dakchi li kenti kaddir had tlt snin li doweztha m3ak f l3ilaj?,واش غادي دير راسك أنّاك ماكنتيش كادّير داكشي لي كنتي كادّير هاد تلت سنين لي دووزتها معاك ف لعيلاج? 
You're putting me in a difficult position.,rak kat7eTTini f wD3ia S3iba.,راك كاتحطّيني ف وضعيا صعيبا. 
I'm your psychiatrist.,ana rah Tbib nefsi dialk.,أنا راه طبيب نفسي ديالك. 
"When I listen to you and I talk to you, it's for your psychological balance, because it's my job.","fach kantSenneT lik o kanhder m3ak, rah 3la 9bel attawazon annafsi dialk, 7it hadi khdmti.","فاش كانتصنّط ليك أُ كانهدر معاك, راه علا قبل أتّاوازون أنّافسي ديالك, حيت هادي خدمتي. "
Have you just been playing with me all this time?,wach kenti katl3b bia had lw9t kaml?,واش كنتي كاتلعب بيا هاد لوقت كامل? 
"PRETENDING to want to know how my day was, how I felt, what I was looking for in life?","katmettel annak baghi t3rf kidaz nhari, ki kan7ess, 3layach kan9elleb f l7ayat?","كاتمتّل أنّاك باغي تعرف كيداز نهاري, كي كانحسّ, علاياش كانقلّب ف لحايات? "
Playing with me... you... you...,katl3b bia... nta... nta...,كاتلعب بيا... نتا... نتا... 
"It's not a game, that's how therapy happens.","machi kanl3b, rah hakka kaykon l3ilaj annafsi.","ماشي كانلعب, راه هاكّا كايكون لعيلاج أنّافسي. "
"Look, I think you should think about what you want from your psychiatrist.","sm3i, kanDen annaho khaSS tfekri achno bghiti men 3nd Tbib nefsi dialk.","سمعي, كانضن أنّاهو خاصّ تفكري أشنو بغيتي من عند طبيب نفسي ديالك. "
