"n1","n2","n3","n4","n5","n6","eng"
"","","","","","","curb"
"","","","","","","allocate"
"","","","","","","supervise"
"","","","","","","fade"
"","","","","","","endorse"
"","","","","","","condemn"
"","","","","","","book"
"","","","","","","tip"
"","","","","","","reform"
"","","","","","","complement"
"","","","","","","punish"
"","","","","","","bang"
"","","","","","","outline"
"","","","","","","diminish"
"","","","","","","prevail"
"","","","","","","leap"
"","","","","","","wrap"
"","","","","","","compromise"
"","","","","","","collapse"
"","","","","","","safeguard"
"","","","","","","inhibit"
"","","","","","","scream"
"","","","","","","date"
"","","","","","","delete"
"","","","","","","attain"
"","","","","","","dislike"
"","","","","","","conceive"
"","","","","","","dictate"
"","","","","","","unite"
"","","","","","","import"
"","","","","","","spring"
"","","","","","","rebuild"
"","","","","","","flourish"
"","","","","","","criticize"
"","","","","","","boil"
"","","","","","","flee"
"","","","","","","commence"
"","","","","","","praise"
"","","","","","","draft"
"","","","","","","park"
"","","","","","","discriminate"
"","","","","","","track"
"","","","","","","enclose"
"","","","","","","interview"
"","","","","","","tighten"
"","","","","","","price"
"","","","","","","color"
"","","","","","","venture"
"","","","","","","speculate"
"","","","","","","depart"
"","","","","","","interrupt"
"","","","","","","disguise"
"","","","","","","elect"
"","","","","","","withstand"
"","","","","","","discharge"
"","","","","","","restrain"
"","","","","","","thrive"
"","","","","","","echo"
"","","","","","","divert"
"","","","","","","fry"
"","","","","","","dissolve"
"","","","","","","edit"
"","","","","","","assemble"
"","","","","","","ruin"
"","","","","","","accelerate"
"","","","","","","envisage"
"","","","","","","congratulate"
"","","","","","","retrieve"
"","","","","","","descend"
"","","","","","","suspend"
"","","","","","","experiment"
"","","","","","","ship"
"","","","","","","frighten"
"","","","","","","fool"
"","","","","","","inspire"
"","","","","","","heal"
"","","","","","","master"
"","","","","","","terminate"
"","","","","","","amend"
"","","","","","","scratch"
"","","","","","","embark"
"","","","","","","entail"
"","","","","","","execute"
"","","","","","","consolidate"
"","","","","","","cash"
"","","","","","","round"
"","","","","","","isolate"
"","","","","","","warrant"
"","","","","","","signal"
"","","","","","","weaken"
"","","","","","","pin"
"","","","","","","march"
"","","","","","","desire"
"","","","","","","widen"
"","","","","","","level"
"","","","","","","chat"
"","","","","","","board"
"","","","","","","contend"
"","","","","","","invent"
"","","","","","","resource"
"","","","","","","manufacture"
"","","","","","","seal"
"","","","","","","reconsider"
"","","","","","","suck"
"","","","","","","picture"
"","","","","","","crash"
"","","","","","","transport"
"","","","","","","plug"
"","","","","","","assign"
"","","","","","","inquire"
"","","","","","","campaign"
"","","","","","","trap"
"","","","","","","surround"
"","","","","","","debate"
"","","","","","","upgrade"
"","","","","","","decorate"
"","","","","","","confer"
"","","","","","","accumulate"
"","","","","","","profit"
"","","","","","","file"
"","","","","","","inherit"
"","","","","","","disrupt"
"","","","","","","contrast"
"","","","","","","chuck"
"","","","","","","tick"
"","","","","","","plead"
"","","","","","","dip"
"","","","","","","subscribe"
"","","","","","","educate"
"","","","","","","divorce"
"","","","","","","spin"
"","","","","","","row"
"","","","","","","obscure"
"","","","","","","creep"
"","","","","","","interest"
"","","","","","","overlook"
"","","","","","","twist"
"","","","","","","mature"
"","","","","","","blend"
"","","","","","","revise"
"","","","","","","attribute"
"","","","","","","explode"
"","","","","","","dwell"
"","","","","","","alleviate"
"","","","","","","strip"
"","","","","","","grade"
"","","","","","","revert"
"","","","","","","value"
"","","","","","","award"
"","","","","","","strive"
"","","","","","","notify"
"","","","","","","remedy"
"","","","","","","instruct"
"","","","","","","spill"
"","","","","","","strain"
"","","","","","","comprehend"
"","","","","","","soften"
"","","","","","","wave"
"","","","","","","bounce"
"","","","","","","stock"
"","","","","","","position"
"","","","","","","insure"
"","","","","","","adhere"
"","","","","","","cling"
"","","","","","","summon"
"","","","","","","pause"
"","","","","","","empty"
"","","","","","","classify"
