n1,n2,n3,n4,n5,n6,darija_ar,eng
fDDel,fDDl,,,,,فضّل,favor
medd,mdd,,,,,مدّ,hand
9beT,9bT,9baT,,,,قبط,capture
3zzez,,,,,,عزّز,reinforce
7owwel,7wwl,7wwel,,,,حوّل,transform
fhem,f8em,,,,,فهم,perceive
khdem,,,,,,خدم,function
ghaader,ghadr,ghader,,,,غادر,quit
raaf9,raafe9,raf9,,,,رافق,accompany
mowwel,mmwel,mwwl,,,,موّل,fund
jme3,,,,,,جمع,pack
S77e7,Se77e7,,,,,صحّح,correct
ab7ar,,,,,,أبحر,sail
3owweD,,,,,,عوّض,compensate
sre9,sr9,sra9,,,,سرق,steal
chfer,chfr,chfar,,,,شفر,steal
9owweD,,,,,,قوّض,undermine
mtedd,,,,,,متدّ,range
3aareD,3arD,3aarD,,,,عارض,oppose
7edded,,,,,,حدّد,locate
zreb,zrb,zrab,,,,زرب,hurry
ncher,nchr,,,,,نشر,broadcast
9aaDaa,,,,,,قاضا,sue
miza,,,,,,ميزا,bid
Dowwa,Dwwa,,,,,ضوّا,light
tbaT2,tbaaTe2,tbaaT2,,,,تباطأ,slow
8emm,,,,,,همّ,concern
rfeD,,,,,,رفض,dismiss
rkkez,,,,,,ركّز,highlight
Sle7,,,,,,صلح,repair
Taabe9,Taab9,Tab9,,,,طابق,conform
rbeT,,,,,,ربط,attach
zrreb,zrrb,,,,,زرّب,rush
ghre9,,,,,,غرق,sink
ntaz3,,,,,,نتازع,grab
kalma,,,,,,كالما,calm
7tejj,7tjj,,,,,حتجّ,protest
waazen,wazn,waazn,,,,وازن,balance
Tleb,,,,,,طلب,beg
tbbet,tebbet,,,,,تبّت,install
Towwer,,,,,,طوّر,advance
Tred,,,,,,طرد,fire
3awn,3aawn,3aawen,3awen,,,عاون,aid
tdffe9,,,,,,تدفّق,flow
jerr,jrr,,,,,جرّ,drag
tTaab9,tTab9,,,,,تطابق,correspond
chkkel,,,,,,شكّل,pose
tt3jeb,,,,,,تعجب,admire
khffef,,,,,,خفّف,relieve
3kes,,,,,,عكس,reverse
ddabz,,,,,,دابز,combat
ndamj,ndamej,,,,,ندامج,integrate
mattaf9ch,,,,,,ماتّافقش,disagree
ttaSel,,,,,,اتصل,connect
7iyyen,,,,,,حيّن,update
ghiyyer,,,,,,غيّر,modify
khtar,,,,,,ختار,opt
amer,2amer,,,,,أمر,command
mtatel,mtatl,,,,,متاتل,obey
stkhrej,stekhrej,stakhrej,stakhraj,,,ستخرج,extract
3aarD,,,,,,عارض,counter
ste2nef,st2nf,sta2nef,,,,ستأنف,resume
chedd,,,,,,شدّ,grasp
stow3eb,stou3eb,sto3eb,stou3b,stow3b,,ستوعب,grasp
tze3lel,tz3lel,,,,,تزعلل,swing
sllem,sellem,,,,,سلّم,render
zreb,,,,,,زرب,speed
waaj8,wajh,waajh,waj8,,,واجه,confront
mne3,,,,,,منع,ban
mse7,,,,,,مسح,wipe
Doubl,Dobl,Double,,,,ضوبل,double
chtamel,chtaml,,,,,شتامل,comprise
ch8ed,,,,,,شهد,witness
ghres,,,,,,غرس,plant
jzem,,,,,,جزم,assert
kchef,,,,,,كشف,disclose
3Ser,3Sr,,,,,عصر,squeeze
bjegh,bjgh,bjagh,,,,بجغ,squeeze
rbeT,,,,,,ربط,bind
Derr,,,,,,ضرّ,harm
2aada,aada,ada,,,,أدا,harm
tla9a,,,,,,تلاقا,encounter
Tleb,,,,,,طلب,request
3aana,,,,,,عانا,struggle
khddem,,,,,,خدّم,hire
khbba,khebba,,,,,خبّا,conceal
khddem,,,,,,خدّم,recruit
t3awen,t3awn,,,,,تعاون,co-operate
sre7,,,,,,سرح,wander
chdded,chedded,,,,,شدّد,emphasize
3ber,,,,,,عبر,weigh
wzen,,,,,,وزن,weigh
tzaamn,tzamn,tzamen,tzaamen,,,تزامن,coincide
7na,,,,,,حنا,bend
tna,,,,,,تنا,bend
nDDem,,,,,,نضّم,regulate
n9ed,,,,,,نقد,rescue
rffe8,,,,,,رفّه,entertain
twe99e3,,,,,,توقّع,forecast
f7eS,,,,,,فحص,inspect
Sdder,,,,,,صدّر,export
le77,,,,,,لحّ,urge
stentej,,,,,,ستنتج,induce
sedd,,,,,,سدّ,lock
3reD,,,,,,عرض,exhibit
skhkhen,skhen,s55en,,,,سخّن,warm
dffa,deffa,,,,,دفّا,warm
3tarf,,,,,,عتارف,confess
sme7,,,,,,سمح,tolerate
Tmmer,,,,,,طمّر,tolerate
tselle9,,,,,,تسلّق,mount
mse7,,,,,,مسح,brush
ntej,,,,,,نتج,reproduce
khDe3,,,,,,خضع,undergo
b8er,,,,,,بهر,impress
nkhafD,,,,,,نخافض,decline
frek,,,,,,فرك,rub
wkkel,,,,,,وكّل,cater
dar,,,,,,دار,tour
wzze3,,,,,,وزّع,distribute
7ess,,,,,,حسّ,sense
khlleS,,,,,,خلّص,repay
rjje3,,,,,,رجّع,regain
sta3aad,,,,,,ستعاد,regain
9ellel,,,,,,قلّل,minimize
w99ef,,,,,,وقّف,halt
chkkel,,,,,,شكّل,shape
z3ej,,,,,,زعج,disturb
3eDD,3aDD,3DD,,,,عضّ,bite
t9ddem,,,,,,تقدّم,progress
kerres,karres,krrs,,,,كرّس,devote
stafzz,stafezz,,,,,ستافزّ,provoke
Tem2en,,,,,,طمأن,reassure
t2emmel,,,,,,تأمّل,contemplate
7dder,,,,,,حدّر,alert
tfa3el,tfa3l,,,,,تفاعل,interact
skhkhen,skhen,,,,,سخّن,heat
btaker,,,,,,بتاكر,devise
7kem,,,,,,حكم,govern
3aan9,3an9,,,,,عانق,embrace
3zza,,,,,,عزّا,comfort
7jez,,,,,,حجز,seize
dowweb,,,,,,دوّب,melt
zad,,,,,,زاد,supplement
ttekka,,,,,,تكّا,lean
Tbbe9,,,,,,طبّق,exert
7tars,7tares,,,,,حتارس,beware
tchab8,tchaab8,tchabh,tchabeh,tchabe8,,تشابه,resemble
mne3,,,,,,منع,abolish
tjowwej,tjwwj,tjowej,tzowej,tzwwj,,تجوّج,wed
8rres,,,,,,هرّس,crack
9me3,,,,,,قمع,suppress
gabl,,,,,,ڭابل,guard
faje2,faaj2,faj2,faaje2,,,فاجأ,surprise
tredded,,,,,,تردّد,hesitate
ch7en,,,,,,شحن,load
sreT,,,,,,سرط,swallow
bda,,,,,,بدا,initiate
Tfaa,,,,,,طفا,float
2etter,,,,,,أتّر,effect
t7ekkem,,,,,,تحكّم,manipulate
rde3,,,,,,ردع,deter
rtabeT,,,,,,رتابط,associate
adaar,,,,,,أدار,administer
9tel,,,,,,قتل,murder
taabr,,,,,,تابر,persist
7eyya,,,,,,حيّا,greet
dmme3,,,,,,دمّع,tear
Taared,,,,,,طارد,hunt
fsed,,,,,,فسد,spoil
sTTer,,,,,,سطّر,line
baark,,,,,,بارك,bless
khtar9,,,,,,ختارق,penetrate
Daa3ef,,,,,,ضاعف,multiply
dmej,,,,,,دمج,merge
derreb,,,,,,درّب,coach
jeff,jffef,,,,,جفّ,drain
stenzef,stnzef,,,,,ستنزف,drain
kfa,,,,,,كفا,suffice
ftarD,,,,,,فتارض,presume
Syyed,,,,,,صيّد,fish
t9dda,,,,,,تقدّا,shop
tsab9,,,,,,تسابق,race
chrref,,,,,,شرّف,honor
jemmed,,,,,,جمّد,freeze
daawa,,,,,,داوا,cure
3alj,,,,,,عالج,cure
tbadel,,,,,,تبادل,swap
t7emmel,,,,,,تحمّل,endure
Taard,,,,,,طارد,chase
ste8lek,,,,,,ستهلك,consume
khcha,,,,,,خشا,insert
tsenna,,,,,,تسنّا,await
njarf,,,,,,نجارف,drift
bddel,,,,,,بدّل,substitute
steslem,,,,,,ستسلم,surrender
ziyyer,,,,,,زيّر,wind
9elleS,,,,,,قلّص,contract
miyyez,,,,,,ميّز,differentiate
3len,,,,,,علن,advertise
Saal7,,,,,,صالح,reconcile
tSowwer,,,,,,تصوّر,project
nsse9,,,,,,نسّق,co-ordinate
frg3,,,,,,فرڭع,snap
l3en,,,,,,لعن,damn
Teyyeb,,,,,,طيّب,bake
Twa,,,,,,طوا,fold
tnazl,,,,,,تنازل,concede
jdded,,,,,,جدّد,renew
Saagh,,,,,,صاغ,formulate
khelleT,,,,,,خلّط,confuse
7edd,,,,,,حدّ,maximize
mse7,,,,,,مسح,sweep
wjjeh,,,,,,وجّه,steer
rkkez,,,,,,ركّز,base
tsa8el,,,,,,تساهل,indulge
khffeD,,,,,,خفّض,decrease
7jez,,,,,,حجز,reserve
rezerva,,,,,,رزرڤا,reserve
st9bel,,,,,,ستقبل,host
tTowwer,,,,,,تطوّر,evolve
r3a,,,,,,رعا,foster
3ggez,,,,,,عڭّز,discourage
Towwe9,,,,,,طوّق,curb
khSSeS,,,,,,خصّص,allocate
chref,,,,,,شرف,supervise
tlacha,,,,,,تلاشا,fade
d3em,,,,,,دعم,endorse
adaan,,,,,,أدان,condemn
7jez,,,,,,حجز,book
Sle7,,,,,,صلح,reform
kmmel,,,,,,كمّل,complement
3a9b,,,,,,عاقب,punish
frg3,,,,,,فرڭع,bang
st3reD,,,,,,ستعرض,outline
9ellel,,,,,,قلّل,diminish
saad,,,,,,ساد,prevail
n99ez,,,,,,نقّز,leap
lwa,,,,,,لوا,wrap
tfa8em,,,,,,تفاهم,compromise
n8aar,,,,,,نهار,collapse
raab,,,,,,راب,collapse
7ma,,,,,,حما,safeguard
mne3,,,,,,منع,inhibit
ghowwet,,,,,,غوّت,scream
twa3d,,,,,,تواعد,date
mse7,,,,,,مسح,delete
799e9,,,,,,حقق,attain
kre8,,,,,,كره,dislike
tSowwer,,,,,,تصوّر,conceive
mla,,,,,,ملا,dictate
w77ed,,,,,,وحّد,unite
stowred,,,,,,ستورد,import
bna,,,,,,بنا,rebuild
zda8er,,,,,,زداهر,flourish
nta9ed,,,,,,نتاقد,criticize
Tiyyeb,,,,,,طيّب,boil
ghla,,,,,,غلا,boil
ghla,,,,,,غلا,inflate
8reb,,,,,,هرب,flee
bda,,,,,,بدا,commence
mde7,,,,,,مدح,praise
blaSa,,,,,,بلاصا,park
miyyez,,,,,,ميّز,discriminate
tbe3,,,,,,تبع,track
Towwe9,,,,,,طوّق,enclose
9aabel,,,,,,قابل,interview
chedded,,,,,,شدّد,tighten
lowwen,,,,,,لوّن,color
ghaamer,,,,,,غامر,venture
khemmen,,,,,,خمّن,speculate
9edder,,,,,,قدّر,speculate
ghader,,,,,,غادر,depart
9aaTe3,,,,,,قاطع,interrupt
mowwe8,,,,,,موّه,disguise
ntakheb,,,,,,نتاخب,elect
t7emmel,,,,,,تحمّل,withstand
kbe7,,,,,,كبح,restrain
nma,,,,,,نما,thrive
3awed,,,,,,عاود,echo
n7arf,,,,,,نحارف,divert
9la,,,,,,قلا,fry
dab,,,,,,داب,dissolve
3ddel,,,,,,عدّل,edit
jmme3,,,,,,جمّع,assemble
khrreb,,,,,,خرّب,ruin
srre3,,,,,,سرّع,accelerate
tSower,,,,,,تصور,envisage
8enne2,,,,,,هنّأ,congratulate
staredd,,,,,,ستردّ,retrieve
8beT,,,,,,هبط,descend
wggef,,,,,,وڭّف,suspend
jerreb,jrreb,jrrb,jerrab,,,جرّب,experiment
khle3,,,,,,خلع,frighten
9oulb,,,,,,قولب,fool
al8am,,,,,,ألهم,inspire
chaafa,,,,,,شافا,heal
DbeT,,,,,,ضبط,master
kemmel,,,,,,كمّل,terminate
3ddel,,,,,,عدّل,amend
khdech,,,,,,خدش,scratch
stelzem,,,,,,ستلزم,entail
nffed,,,,,,نفّد,execute
3dem,,,,,,عدم,execute
wTTed,,,,,,وطّد,consolidate
dowwer,,,,,,دوّر,round
3zel,,,,,,عزل,isolate
berrer,,,,,,برّر,warrant
D33ef,,,,,,ضعّف,weaken
tmechcha,,,,,,تمشّا,march
bgha,,,,,,بغا,desire
wsse3,,,,,,وسّع,widen
drdech,,,,,,دردش,chat
rkeb,,,,,,ركب,board
khtar3,,,,,,ختارع,invent
Sne3,,,,,,صنع,manufacture
sedd,,,,,,سدّ,seal
raaj3,,,,,,راجع,reconsider
mSS,,,,,,مصّ,suck
Sowwer,,,,,,صوّر,picture
STadem,,,,,,صطادم,crash
frchekh,,,,,,فرشخ,crash
n9el,,,,,,نقل,transport
bloka,,,,,,بلوكا,plug
3iyyen,,,,,,عيّن,assign
stfser,,,,,,ستفسر,inquire
Syyed,,,,,,صيّد,trap
dowwer,,,,,,دوّر,surround
tna9ch,,,,,,تناقش,debate
Towwer,,,,,,طوّر,upgrade
zyyen,,,,,,زيّن,decorate
jme3,,,,,,جمع,accumulate
staghell,,,,,,ستاغلّ,profit
wret,,,,,,ورت,inherit
khrbe9,,,,,,خربق,disrupt
khne9,,,,,,خنق,choke
daaf3,,,,,,دافع,plead
ghmmes,,,,,,غمّس,dip
chtark,,,,,,شتارك,subscribe
3llem,,,,,,علّم,educate
Tlle9,,,,,,طلّق,divorce
ghzel,,,,,,غزل,spin
chowwech,,,,,,شوّش,obscure
tsellel,,,,,,تسلّل,creep
7rref,,,,,,حرّف,twist
mzej,,,,,,مزج,blend
raaj3,,,,,,راجع,revise
nseb,,,,,,نسب,attribute
nfajer,,,,,,نفاجر,explode
sken,,,,,,سكن,dwell
khffef,,,,,,خفّف,alleviate
3alj,,,,,,عالج,remedy
rched,,,,,,رشد,instruct
tserreb,,,,,,تسرّب,spill
f8em,,,,,,فهم,comprehend
rTTeb,,,,,,رطّب,soften
chiyyer,,,,,,شيّر,wave
sToka,stoka,,,,,سطوكا,stock
wDe3,,,,,,وضع,position
2emmen,,,,,,أمّن,insure
nkharT,,,,,,نخارط,adhere
tchbbet,,,,,,تشبّت,cling
sted3a,,,,,,ستدعا,summon
wgf,,,,,,وڭف,pause
w9ef,,,,,,وقف,pause
khwa,,,,,,خوا,empty
rtteb,,,,,,رتّب,classify
t7emmel,,,,,,تحمّل,afford
tsme3,,,,,,تسمع,sound
n99eT,,,,,,نقّط,grade
rje3,,,,,,رجع,revert
9iyyem,,,,,,قيّم,value
jaaza,,,,,,جازا,award
kaf7,,,,,,كافح,strive
bllegh,,,,,,بلّغ,notify
Tfa,,,,,,طفا,turn off
ryye7,riye7,ryy7,,,,ريّح,sit down
ghech,ghechch,ghch,ghach,,,غش,cheat
9chcher,9cher,qcher,qchcher,9chchar,,قشّر,peel
