"root_darija","nta","nti","ntoma"
"9me3","9me3","9m3i","9m3o"
"faje2","faje2","faj2i","faj2o"
"tredded","tredded","treddedi","treddedo"
"ch7en","ch7en","ch7ni","ch7no"
"sreT","sreT","srTi","srTo"
"Tfa","Tfi","Tfi","Tfiw"
"t7ekkem","t7ekkem","t7ekkmi","t7ekkmo"
"rde3","rde3","rd3i","rd3o"
"adaar","diir","diiri","diiro"
"9tel","9tel","9tli","9tlo"
"taabr","taabr","taabri","taabro"
"7eyya","7eyyi","7eyyi","7eyyiw"
"dmme3","dmme3","dmm3i","dmm3o"
"Taared","Taared","Taardi","Taardo"
"fsed","fsed","fsdi","fsdo"
"sTTer","sTTer","sTTri","sTTro"
"baark","baark","baarki","baarko"
"khtar9","khtar9","khtar9i","khtar9o"
"Daa3ef","Daa3ef","Daa3fi","Daa3fo"
"dmej","dmej","dmji","dmjo"
"derreb","derreb","derrbi","derrbo"
"jeff","jeff","jffi","jffo"
"stenzef","stenzef","stenzfi","stenzfo"
"kfa","kfi","kfi","kfiw"
"t9dda","t9dda","t9dday","t9ddaw"
"tsab9","tsab9","tsab9i","tsab9o"
"chrref","chrref","chrrfi","chrrfo"
"jemmed","jemmed","jemmdi","jemmdo"
"daawa","daawi","daawi","daawiw"
"3alj","3alj","3alji","3aljo"
"tbadel","tbadel","tbadli","tbadlo"
"Taard","Taard","Taardi","Taardo"
"ste8lek","ste8lek","ste8lki","ste8lko"
"khcha","khchi","khchi","khchiw"
"tsenna","tsenna","tsennay","tsennaw"
"njarf","njarf","njarfi","njarfo"
"steslem","steslem","steslmi","steslmo"
"ziyyer","ziyyer","ziyyri","ziyyro"
"9elleS","9elleS","9ellSi","9ellSo"
"miyyez","miyyez","miyyzi","miyyzo"
"3len","3len","3lni","3lno"
"Saal7","Saal7","Saal7i","Saal7o"
"tSowwer","tSowwer","tSowwri","tSowwro"
"nsse9","nsse9","nss9i","nss9o"
"l3en","l3en","l3ni","l3no"
"Teyyeb","Teyyeb","Teyybi","Teyybo"
"Twa","Twi","Twi","Twiw"
"tnazl","tnazl","tnazli","tnazlo"
"jdded","jdded","jddedi","jddedo"
"Saagh","Sough","Soughi","Sougho"
"khelleT","khelleT","khellTi","khellTo"
"7edd","7edd","7eddi","7eddo"
"mse7","mse7","ms7i","ms7o"
"wjjeh","wjjeh","wjjhi","wjjho"
"tsa8el","tsa8el","tsa8li","tsa8lo"
"khffeD","khffeD","khffDi","khffDo"
"7jez","7jez","7jzi","7jzo"
"rezerva","rezervi","rezervi","rezerviw"
"st9bel","st9bel","st9bli","st9blo"
"tTowwer","tTowwer","tTowwri","tTowwro"
"r3a","r3a","r3ay","r3aw"
"3ggez","3ggez","3ggzi","3ggzo"
"Towwe9","Towwe9","Toww9i","Toww9o"
"khSSeS","khSSeS","khSSeSi","khSSeSo"
"chref","chref","chrfi","chrfo"
"tlacha","tlacha","tlachay","tlachaw"
"adaan","diin","diini","diino"
"Sle7","Sle7","Sl7i","Sl7o"
"3a9b","3a9b","3a9bi","3a9bo"
"frg3","frg3","frg3i","frg3o"
"st3reD","st3reD","st3rDi","st3rDo"
"saad","soud","soudi","soudo"
"n99ez","n99ez","n99zi","n99zo"
"lwa","lwi","lwi","lwiw"
"tfa8em","tfa8em","tfa8mi","tfa8mo"
"n8aar","n8aar","n8aari","n8aaro"
"raab","rib","ribi","ribo"
"7ma","7mi","7mi","7miw"
"mne3","mne3","mn3i","mn3o"
"ghowwet","ghowwet","ghowwti","ghowwto"
"twa3d","twa3d","twa3di","twa3do"
"kre8","kre8","kr8i","kr8o"
"mla","mli","mli","mliw"
"w77ed","w77ed","w77di","w77do"
"stowred","stowred","stowrdi","stowrdo"
"zda8er","zda8er","zda8ri","zda8ro"
"nta9ed","nta9ed","nta9di","nta9do"
"Tiyyeb","Tiyyeb","Tiyybi","Tiyybo"
"ghla","ghli","ghli","ghliw"
"8reb","8reb","8rbi","8rbo"
"mde7","mde7","md7i","md7o"
"blaSa","blaSi","blaSi","blaSiw"
"tbe3","tbe3","tb3i","tb3o"
"9abel","9abel","9abli","9ablo"
"chedded","chedded","cheddedi","cheddedo"
"lowwen","lowwen","lowwni","lowwno"
"ghaamer","ghaamer","ghaamri","ghaamro"
"khemmen","khemmen","khemmni","khemmno"
"9edder","9edder","9eddri","9eddro"
"ghader","ghader","ghadri","ghadro"
"9aaTe3","9aaTe3","9aaT3i","9aaT3o"
"mowwe8","mowwe8","moww8i","moww8o"
"ntakheb","ntakheb","ntakhbi","ntakhbo"
"t7emmel","t7emmel","t7emmli","t7emmlo"
"kbe7","kbe7","kb7i","kb7o"
"nmma","nmmi","nmmi","nmmiw"
"3awed","3awed","3awdi","3awdo"
"n7arf","n7arf","n7arfi","n7arfo"
"9la","9li","9li","9liw"
"dab","doub","doubi","doubo"
"3ddel","3ddel","3ddli","3ddlo"
"jmme3","jmme3","jmm3i","jmm3o"
"khrreb","khrreb","khrrbi","khrrbo"
"srre3","srre3","srr3i","srr3o"
"tSower","tSower","tSowri","tSowro"
"8enne2","8enne2","8enn2i","8enn2o"
"staredd","staredd","starddi","starddo"
"8beT","8beT","8bTi","8bTo"
"wggef","wggef","wggfi","wggfo"
"jrreb","jrreb","jrrbi","jrrbo"
"khle3","khle3","khl3i","khl3o"
"9oulb","9oulb","9oulbi","9oulbo"
"al8am","l8em","l8mi","l8mo"
"chaafa","chaafi","chaafi","chaafiw"
"DbeT","DbeT","DbTi","DbTo"
"kemmel","kemmel","kemmli","kemmlo"
"khdech","khdech","khdchi","khdcho"
"stelzem","stelzem","stelzmi","stelzmo"
"nffed","nffed","nffdi","nffdo"
"3dem","3dem","3dmi","3dmo"
"wTTed","wTTed","wTTdi","wTTdo"
"berrer","berrer","berreri","berrero"
"D33ef","D33ef","D33fi","D33fo"
"tmechcha","tmechcha","tmechchay","tmechchaw"
"wsse3","wsse3","wss3i","wss3o"
"drdech","drdech","drdchi","drdcho"
"rkeb","rkeb","rkbi","rkbo"
"khtar3","khtar3","khtar3i","khtar3o"
"Sne3","Sne3","Sn3i","Sn3o"
"raaj3","raaj3","raaj3i","raaj3o"
"mSS","mSS","mSSi","mSSo"
"Sowwer","Sowwer","Sowwri","Sowwro"
"STadem","STadem","STadmi","STadmo"
"frchekh","frchekh","frchkhi","frchkho"
"n9el","n9el","n9li","n9lo"
"3iyyen","3iyyen","3iyyni","3iyyno"
"stfser","stfser","stfsri","stfsro"
"Syyed","Syyed","Syydi","Syydo"
"dowwer","dowwer","dowwri","dowwro"
"zyyen","zyyen","zyyni","zyyno"
"jme3","jme3","jm3i","jm3o"
"staghell","staghell","staghlli","staghllo"
"wret","wret","wrti","wrto"
"khrbe9","khrbe9","khrb9i","khrb9o"
"khne9","khne9","khn9i","khn9o"
"daaf3","daaf3","daaf3i","daaf3o"
"ghmmes","ghmmes","ghmmsi","ghmmso"
"chtark","chtark","chtarki","chtarko"
"tchark","tchark","tcharki","tcharko"
"3llem","3llem","3llmi","3llmo"
"Tlle9","Tlle9","Tll9i","Tll9o"
"ghzel","ghzel","ghzli","ghzlo"
"chowwech","chowwech","chowwchi","chowwcho"
"tsellel","tsellel","tselleli","tsellelo"
"7rref","7rref","7rrfi","7rrfo"
"mzej","mzej","mzji","mzjo"
"nseb","nseb","nsbi","nsbo"
"sken","sken","skni","skno"
"n99eT","n99eT","n99Ti","n99To"
"rje3","rje3","rj3i","rj3o"
"9iyyem","9iyyem","9iyymi","9iyymo"
"jaaza","jaazi","jaazi","jaaziw"
"kaf7","kaf7","kaf7i","kaf7o"
"bllegh","bllegh","bllghi","bllgho"
"tserreb","tserreb","tserrbi","tserrbo"
"rTTeb","rTTeb","rTTbi","rTTbo"
"chiyyer","chiyyer","chiyyri","chiyyro"
"sToka","sToki","sToki","sTokiw"
"wDe3","wDe3","wD3i","wD3o"
"nkharT","nkharT","nkharTi","nkharTo"
"tchbbet","tchbbet","tchbbti","tchbbto"
"sted3a","sted3i","sted3i","sted3iw"
"wgf","wgf","wgfi","wgfo"
"khwa","khwi","khwi","khwiw"
"rtteb","rtteb","rttbi","rttbo"
"tsme3","tsme3","tsm3i","tsm3o"
"t98wa","t98wa","t98way","t98waw"
"9chcher","9chcher","9chchri","9chchro"
"tna","tni","tni","tniw"
