n1,n2,n3,n4,darija_ar,eng
da2iri,daa2iri,,,دائري,circular
moSirr,,,,مصرّ,persistent
motaabir,,,,متابر,persistent
ilaahi,ilaa8i,ilahi,,إلهي,divine
makaani,,,,مكاني,spatial
mam9bolch,mam9boulch,,,مامقبولش,unacceptable
msmoum,,,,مسموم,toxic
mo288al,,,,مؤهّل,competent
mtkaml,mtkaaml,,,متكامل,integral
mam9yousch,mam9yosch,,,مامقيوسش,intact
mkhtar,,,,مختار,select
m3awd,,,,معاود,redundant
zayd,,,,زايد,redundant
za3m,za3em,,,زاعم,bold
8aawi,8awi,,,هاوي,amateur
gddami,gddaami,,,ڭدّامي,forward
9ddami,9ddaami,,,قدّامي,forward
mabaynch,mabayench,mabayanch,,ماباينش,invisible
idraaki,idraki,,,إدراكي,cognitive
m2sawi,m2saawi,,,مأساوي,tragic
mofji3,mofji3,,,مفجع,tragic
tnDimi,tanDiimi,tenDiimi,tnDiimi,تنضيمي,regulatory
7aasim,7asim,,,حاسم,decisive
i9limi,,,,إقليمي,territorial
mnTa9i,,,,منطقي,territorial
fay9,faye9,faya9,,فايق,awake
daakhili,,,,داخلي,inland
mo7tamal,,,,محتمل,probable
3ksi,3eksi,,,عكسي,adverse
mo7taram,,,,محترم,respectable
sakn,saakn,,,ساكن,resident
mo9iim,mo9im,,,مقيم,resident
madani,,,,مدني,civilian
ortodoxi,,,,أُرتودوكسي,orthodox
mt3SSeb,,,,متعصّب,orthodox
tabt,taabt,,,تابت,static
wagf,,,,واڭف,static
mtwaf9,mtwaaf9,,,متوافق,compatible
sababi,,,,سببي,causal
Dimni,,,,ضمني,implicit
mamfrouchch,,,,مامفروشّ,implicit
9diim,,,,قديم,old-fashioned
jamaali,jamali,,,جمالي,aesthetic
mbogs,,,,مبوڭس,aesthetic
mjmo3,mjmou3,,,مجموع,aggregate
r9i9,,,,رقيق,slim
Twil,,,,طويل,lengthy
mozdawij,,,,مزداوج,dual
machi mawDoo3i,machi mawDo3i,,,ماشي موضوعي,subjective
ra2i3,,,,رائع,fantastic
mafrasoch,,,,مافراسوش,unaware
mawa3ich,,,,ماواعيش,unconscious
akhla9i,akhlaa9i,,,أخلاقي,ethical
mstili,mstyli,,,مستيلي,fashionable
mjhoul,mj8oul,mj8ol,,مجهول,anonymous
fchkel,,,,فشكل,exotic
gharib,,,,غريب,exotic
moraa8i9,mora8i9,morahi9,,مراهق,teenage
ghali,,,,غالي,costly
kaariti,kariti,,,كارتي,disastrous
msta9ll,msta9ell,,,مستاقلّ,autonomous
automatic,otomatik,,,أوتوماتيك,autonomous
radd lbal,,,,رادّ لبال,cautious
dyal ddarra,,,,ديال الذرة,atomic
sirri,,,,سرّي,confidential
7m9,7me9,,,حمق,foolish
mlwwen,mlwwn,,,ملوّن,colorful
bnin,,,,بنين,delicious
3ami9,,,,عميق,thorough
moghram,,,,مغرم,fond
jdid,,,,جديد,novel
mntaDm,mntaDem,,,منتاضم,uniform
mtnas9,mtnase9,,,متناسق,coherent
majiid,majid,,,مجيد,glorious
nfsi,nefsi,,,نفسي,psychiatric
mo3jami,,,,معجمي,lexical
tTawwori,,,,تطوّري,evolutionary
kayrbbi,,,,كايربّي,disciplinary
t2dibi,,,,تأديبي,disciplinary
3tibaaTyan,,,,عتباطيا,arbitrary
kayfrre7,kayfrr7,kayfarra7,,كايفرّح,delightful
mtchrred,,,,متشرّد,homeless
chmkar,,,,شمكار,homeless
gharib,ghariib,,,غريب,weird
fa2iD,,,,فائض,excess
zyada,,,,زيادة,excess
7amimi,7amiimi,,,حميمي,intimate
8a2il,,,,هائل,formidable
tdriji,tdriiji,tedriiji,,تدريجي,gradual
flkharj,,,,فلخارج,outdoor
mi8ani,,,,مهني,vocational
tlkhdma,,,,تلخدمة,vocational
3aalami,3alami,,,عالمي,worldwide
7chman,,,,حشمان,ashamed
tnDimi,,,,تنضيمي,organizational
khbit,,,,خبيت,wicked
takhayyoli,,,,تخيّلي,imaginative
3ajib,3ajiib,,,عجيب,bizarre
ni8a2i,ni8aa2i,,,نهائي,eventual
mrtajl,,,,مرتاجل,spontaneous
makaytSnne3ch,,,,ماكايتصنّعش,spontaneous
wizari,wizaari,,,وزاري,ministerial
mobtakar,,,,مبتكر,innovative
mafaa8iimi,,,,مفاهيمي,conceptual
madani,,,,مدني,civic
7eyy,,,,حيّ,vivid
tnna7w,,,,ت النحو,grammatical
mokhliS,,,,مخلص,faithful
mtwsseT,mtwesseT,motawssiT,,متوسّط,medium
tkmili,tkmiili,,,تكميلي,supplementary
jyoloji,jyolouji,,,جيولوجي,geological
bnnaa2,bnna2,,,بنّاء,constructive
kaybni,,,,كايبني,constructive
ghayr mnTi9i,ghayr manTi9i,,,غير منطقي,unreasonable
Darori,Darouri,,,ضروري,mandatory
mchmmech,,,,مشمّش,sunny
ta3aawoni,,,,تعاوني,co-operative
solouki,soloki,,,سلوكي,behavioral
mabaghich,,,,ماباغيش,unwilling
S7i7,,,,صحيح,vigorous
khtiyari,khtiari,,,ختياري,optional
aSli,,,,أصلي,indigenous
manaje7ch,,,,ماناجحش,unsuccessful
mam2ddebch,mam2eddebch,,,مامأدّبش,rude
mamrbbich,mamrebbich,,,مامربّيش,rude
borjwazi,bourjwazi,,,بورجوازي,bourgeois
3ilmani,,,,علماني,secular
momti3,,,,ممتع,enjoyable
mo299at,mow99at,,,مؤقّت,provisional
mosaa8im,mosa8im,mosaahim,,مساهم,instrumental
akhir,akhiir,,,أخير,terminal
ni8aa2i,ni8a2i,niha2i,,نهائي,terminal
3amali,,,,عملي,handy
mokttaf,,,,مكتّف,dense
fotoghrafi,,,,فوتوغرافي,photographic
tlbaladia,,,,ت البلدية,municipal
mt7mmes,mt7mms,mt7emmes,,متحمّس,passionate
m7doud,,,,محدود,restrictive
wa7id,,,,وحيد,lone
daakhili,,,,داخلي,indoor
mtwetter,mtwtter,mtwttr,,متوتّر,tense
blcontra,,,,بلكونطرا,contractual
ta3aa9odi,,,,تعاقدي,contractual
ftiraDi,ftiraaDi,,,فتراضي,virtual
khaTir,,,,خطير,grave
atari,,,,أتري,archaeological
bayn,,,,باين,trivial
kay8ezz,,,,كايهزّ,portable
tafaa3oli,tafa3oli,,,تفاعلي,interactive
w7chi,we7chi,,,وحشي,vicious
chkli,chekli,,,شكلي,nominal
makattnsach,,,,ماكاتّنساش,memorable
ka2ib,,,,كائب,bleak
t7tani,,,,تحتاني,inferior
tlmSaren,,,,تلمصارن,intestinal
mokmmil,,,,مكمّل,complementary
mo8oub,mohoub,mow8ob,mow8oub,موهوب,talented
abadi,,,,أبدي,eternal
jasadi,,,,جسدي,bodily
si7ri,,,,سحري,magical
mf8oum,mfhoum,mfhom,mf8om,مفهوم,understandable
bayn,,,,باين,noticeable
mawaD7ch,,,,ماواضحش,ambiguous
aSli,,,,أصلي,authentic
momkina,,,,ممكنة,feasible
magaddch,,,,ماڭادّش,incapable
ma9aderch,ma9adrch,,,ماقادرش,incapable
komik,,,,كوميك,comic
moD7ik,,,,مضحك,comic
komidi,,,,كوميدي,comic
sti3mari,sti3maai,,,ستعماري,colonial
mn3azl,,,,منعازل,solitary
3abati,,,,عبتي,vain
moDirr,,,,مضرّ,harmful
ghamD,,,,غامض,obscure
khawi,,,,خاوي,vacant
chyaTa,,,,شياطة,surplus
kaytlSS9,kaytlSSe9,,,كايتلصّق,sticky
khfif,,,,خفيف,swift
sri3,,,,سريع,swift
moSghghara,,,,مصغّرة,miniature
bzzaf,,,,بزّاف,ample
machi Tabi3i,,,,ماشي طبيعي,abnormal
3orfi,,,,عرفي,customary
kayDerr,kaydrr,,,كايضرّ,sore
mochi33,,,,مشعّ,radioactive
kay9tel,kay9tl,kay9tal,,كايقتل,deadly
m9boul,m9bol,,,مقبول,plausible
9aabil,,,,قابل,prone
jtima3i,jtimaa3i,,,جتماعي,sociological
magaddch,,,,ماڭادّش,helpless
radd lbal,,,,رادّ لبال,wary
mam3rofch,,,,مامعروفش,unfamiliar
jira7i,jiraa7i,,,جراحي,surgical
mo3awin,,,,معاون,supportive
mo2nnat,,,,مؤنث,feminine
kayfrchekh,kayferchekh,kayfrchkh,,كايفرشخ,destructive
kiwalo,,,,كيوالو,petty
tonaa2i,tona2i,,,تنائي,bilateral
baghi,,,,باغي,would-be
naatj,,,,ناتج,consequent
9wi,,,,قوي,potent
wa3r,,,,واعر,potent
S7i7,,,,صحيح,potent
fasd,faasd,,,فاسد,rotten
m3foun,m3fon,,,معفون,rotten
waa9i3i,wa9i3i,,,واقعي,factual
3amali,,,,عملي,pragmatic
pragmati,,,,پراڭماتي,pragmatic
ghayr morDi,,,,غير مرضي,unsatisfactory
w9t joz2i,,,,وقت جزئي,part-time
mi8ani,,,,مهني,occupational
marin,,,,مرن,flexible
mch8or,,,,مشهور,prominent
m3aarD,m3arD,,,معارض,reluctant
mojrrad,,,,مجرّد,abstract
laa2i9,,,,لائق,decent
jjay,,,,جاي,forthcoming
mn7adr,,,,منحادر,steep
kaytTbbe9,kaytTebbe9,,,كايتطبّق,applicable
kasoul,kasol,,,كسول,passive
9bi7,,,,قبيح,grim
ch8eb,ch8b,,,شهب,blond
droka,drok,,,دروكا,imminent
D3if,,,,ضعيف,vulnerable
mobrziT,,,,موبرزيط,rowdy
frra3,,,,فرّاع,talkative
mozwwir,,,,مزوّر,falsifier
mo8jjij,,,,موهجّيج,rowdy
mo3nfij,,,,موعنفيج,rowdy
msbiTr,,,,مسبيطر,crazy
m7chchech,,,,محشّش,drugged
mSr8eT,mSer8eT,mSer8aT,,مصرهط,scorner
9walbi,,,,قوالبي,trickster
bkkay,,,,بكّاي,crybaby
mokhlwiD,,,,موخلويض,deceitful
7rayfi,,,,حرايفي,skilled
7rayfi,,,,حرايفي,adroit
mawaD7ch,,,,ماواضحش,unclear
8aamichi,hamichi,,,هامشي,peripheral
motaw99a3,,,,متوقّع,predictable
8ojoumi,8ojomi,,,هجومي,offensive
mtna9D,,,,متناقض,absurd
mawsimi,,,,موسمي,seasonal
jbbar,jbbaar,,,جبّار,mighty
mrowwen,mrwwen,,,مروّن,uneasy
baSari,,,,بصري,optical
lani8a2i,laani8aa2i,,,لانهائي,infinite
mdikori,,,,مديكوري,decorative
kammi,,,,كمّي,quantitative
mtnaasb,,,,متناسب,proportional
biro9raTi,,,,بيروقراطي,bureaucratic
kayghir,,,,كايغير,jealous
khayali,,,,خيالي,fancy
mghyar,,,,مغيار,jealous
ldid,,,,لديد,delicious
bayn,,,,باين,obvious
mftou7,meftou7,,,مفتوح,open
sad,sadd,,,ساد,closed
mesdoud,msdoud,msdod,,مسدود,closed
m7loul,m7lol,me7loul,me7lol,محلول,open
ghaleT,ghaaleT,,,غالط,wrong
mbeddel,mbddl,,,مبدّل,different
S7i7,,,,صحيح,strong
mwellef,,,,مولّف,used to
mriguel,,,,مريڭل,cunning
dayekh,,,,دايخ,dizzy
mdowwakh,,,,مدوّخ,dizzy
mberrer,mbrrer,mberrar,,مبرّر,justified
mrtabT,mrtabeT,mertabeT,mertabT,مرتابط,engaged
mol8im,molhim,,,ملهم,inspiring
mchttet,mchettat,mchattet,mchettet,مشتّت,sparse
3aDim,3aDym,3aDiim,,عضيم,mighty
boul7ya,bol7ya,boul7ia,bol7ia,بولحية,beardy
zayd,zaid,,,زايد,extra
khari9,khaari9,5ari9,kahriq,خارق,miraculous
stitna2i,istitna2i,stitnaa2i,istitnaa2i,استثنائي,exceptional
fransawi,fransaoui,,,فرانساوي,french
sblyoni,sbelioni,sbalioni,,سبليوني,spanish
mirikani,,,,ميريكاني,american
chinwi,,,,شينوي,chinese
3rbi,3arbi,3erbi,3arabi,عربي,arab
mkhbbi,mkhebbi,mkhabbi,,مخبّي,hidden
mti99en,mtye99en,mtya99an,mtya99en,متيقّن,sure
