bda kayTi7 Dlam.,It's getting dark.,بدا كايطيح ضلام.
"ayeh, kayna.","Yes, it is.","أيه, كاينا."
khoSoSan 7it ma3ndnach khima lli ghadi t7mina,Especially since we don't have a tent to shelter us,خصوصا حيت ماعندناش خيمة لي غادي تحمينا
o bda kaybred l7al chwia.,And it's getting a little cold.,و بدا كايبرد لحال شوية.
wach bghiti foular?,Do you want a scarf?,واش بغيتي فولار?
dima kanjib m3aya bezzaf ma3rfti lw9t achno tjib.,I always bring several with me just in case.,ديما كانجيب معايا بزّاف ماعرفتي لوقت أشنو تجيب.
o chi chwia dial Trabch.,And a couple of hats.,و شي شوية ديال طرابش.
Ooh o 3ndi 7ta chi Sebba3at!,Ooh I even have some gloves!,وه و عندي حتا شي صبّاعات!
"mangoulikch lla 3la lfoular, 7it rah nit fia lberd.","I'm not saying no for the scarf, because I'm really cold.","مانڭوليكش لا على لفولار, حيت راه نيت فيا لبرد."
"o men fo9 hadchi, Darbni lberd bezzaf, idan 7sen lia ngheTTi rassi.","Besides, I have a big cold, so I'd better cover for myself.","و من فوق هادشي, ضاربني لبرد بزّاف, إذن حسن ليا نغطّي راسي."
ghadi nsekhen rassi bl foular dialk!,I'll warm myself with your scarf!,غادي نسخن راسي بل فولار ديالك!
hak!,Here you go!,هاك!
o n9Der nakhd chi bimo...,And I might even have some biscuits...,و نقضر ناخد شي بيمو...
tsenna wa7d ttania,Wait a sec,تسنّا واحد التانية
"lla, sme7 lia.","No, sorry.","لا, سمح ليا."
mab9a walo.,There are none left.,مابقا والو.
ya salam.,Great.,يا سلام.
"Ah, lil assaf.","Ah, too bad.","أه, للأسف."
walakin ymken bant lia chi Tirmos f llour dial ssella.,But I think I see a Thermos in the back of the basket.,و لكن يمكن بانت ليا شي طيرموس ف اللور ديال السلة.
wach 3amra?,Is it full?,واش عامرة?
wach skhouna?,Is it hot?,واش سخونة?
fiha lma sskhoun!,There's hot water in it!,فيها لما السخون!
o 3ndi atay!,And I had tea bags!,و عندي أتاي!
ndiro chi kwiyess dial atay nskhno bih!,We can make a little tea to warm up!,نديرو شي كويس ديال أتاي نسخنو بيه!
o n9dro nzido chwia dial ttout bach nzido lmada9!,And we could add some berries to give it some more flavour too!,و نقدرو نزيدو شوية ديال التوت باش نزيدو المذاق!
o 9errert nmchi bou7di bach nbe33ed 3la kolchi.,And I've decided to go all by myself to get away from it all.,و قرّرت نمشي بوحدي باش نبعّد على كولشي.
wach katrkeb f ttiyara bezzaf?,Do you fly often?,واش كاتركب ف الطيارة بزّاف?
kolla simana.,Every week.,كولّا سيمانا.
charika diali kayna f jouj blayS.,My company is bi-located.,شركة ديالي كاينا ف جوج بلايص.
"hanta ghadi tchouf, lmenDer zwin fach ghadi nTl3o.","You'll see, it's very nice once we're up here.","هانتا غادي تشوف, لمنضر زوين فاش غادي نطلعو."
wach kaDen hadchi bessa7?,Do you really think so?,واش كاضن هادشي بصح?
kankhaf nchouf men cherjem diali f TTb9a tania f ddar!,I'm scared looking out of my second-floor window at home!,كانخاف نشوف من شرجم ديالي ف الطبقة تانية ف الدار!
"ma3mrni 3jbni l3lou, o ghadi nTl3o lfo9 bezzaf!","I've never liked heights, and we're going to be very high up!","ماعمرني عجبني لعلو, و غادي نطلعو لفوق بزّاف!"
"s7ab, men lfo9, b7al chi b7er dial l9Ten.","The clouds, from above, it's like a sea of cotton.","السحاب, من لفوق, بحال شي بحر ديال لقطن."
o ddo ra2i3 bezzaf.,And the light is absolutely splendid.,و الضو رائع بزّاف.
makaybanch lia DDo.,I can't see the light.,ماكايبانش ليا الضو.
rani mghemmeD 3inia.,I've got my eyes closed.,راني مغمّض عينيا.
ma3jbnich.,I don't like it.,ماعجبنيش.
kolchi bda kayt7errek!,Everything's starting to move!,كولشي بدا كايتحرّك!
ghadi yjiw o yjibo lmonaDa men daba chwia.,They'll be stopping by with the soda soon.,غادي يجيو و يجيبو لموناضا من دابا شوية.
khass takhd chi kass dial koka.,You should ask for a glass of cola.,خاسّ تاخد شي كاسّ ديال كوكا.
"machi mochkil 3ndek tkheleS 3lia, yak?","You wouldn't mind paying for me, would you?","ماشي موشكيل عندك تخلص عليا, ياك?"
maymkench lia nl9a bzTami b 3inia msdoudine...,I can't really find my purse with my eyes closed...,مايمكنش ليا نلقا بزطامي ب عينيا مسدودين...
ana kanchouf Sak dialk.,I can see your bag.,أنا كانشوف صاك ديالك.
ghadi nakhd la carte bancaire dialk o nkhelleS 3lina bjouj o 3la jarna ila ma3ndkch mochkil.,I'm just gonna take your credit card and pay for both of us and our next-door neighbor if you don't mind.,غادي ناخد لا كارت بانكاير ديالك و نخلّص علينا بجوج و على جارنا إلا ماعندكش موشكيل.
achnahowa l code dial la carte bancaire dialk?,What's the code for your credit card?,أشناهو ل كود ديال لا كارت بانكاير ديالك?
lla!,No!,لا!
maddirch hadchi!,Don't do that!,مادّيرش هادشي!
kayn wa7d sabab akhor 3lach makan7mlch nrkb f Tiyara!,That's another reason I don't like flying!,كاين واحد سبب أخور علاش ماكانحملش نركب ف طيارا!
maymkench lik tti9 f nnass fl blayss lmsdoudin!,You can never trust people in confined spaces!,مايمكنش ليك تيق ف الناسّ فل بلايص لمسدودين!
o 3lach kathder m3aya?,But why do you talk to me?,و علاش كاتهضر معايا?
"makanch 3ndi lkhtiyar, wla lla?","I didn't have much choice, did I?","ماكانش عندي لختيار, ولا لا?"
"walakin, ma7eddek hna, t9der tmchi tjib lia kass dial lma?","But, whilst you're here, could you go get me a glass of water perhaps?","و لكن, ماحدّك هنا, تقدر تمشي تجيب ليا كاسّ ديال لما?"
o n9der nsa hadchi li yallah guelti 3la l carte bancaire diali.,And I might just forget what you just said about my credit card.,و نقدر نسا هادشي لي يالّاه ڭولتي على ل كارت بانكاير ديالي.
ghadi n3iyet l moDifa hnaya.,I'll get the stewardess out here.,غادي نعيط ل مضيفة هنايا.
ghadi tjib lik kass dial lma.,She'll bring you a glass of water.,غادي تجيب ليك كاسّ ديال لما.
ghir rta7.,Just relax.,غير رتاح.
"kolchi ghadi ykon mezian,","Everything's gonna be okay,","كولشي غادي يكون مزيان,"
o kayn dima aflam bach tbeddel ljow.,And there's always movies to change your mind.,و كاين ديما أفلام باش تبدّل الجو.
ch7al hada o 7na f sma.,It's been a while since we've been in the air.,شحال هادا و حنا ف سما.
ghadi nkono temma men daba khmsa dial d9ay9.,We'll be there in five minutes.,غادي نكونو تمّا من دابا خمسة ديال دقايق.
rak 9rib tsali awal tsafira lik f TTiyara!,You almost finished your first flight!,راك قريب تسالي أول تسافيرة ليك ف الطيارة!
chokran bezzaf.,Thank you so much.,شكرا بزّاف.
o chokran 3la choklaT lli khdit lik men SSac fach makentich katchouf.,And thank you for the chocolate I took out of your bag whilst you weren't looking.,و شكرا على شكلاط لي خديت ليك من الصاك فاش ماكنتيش كاتشوف.
kan dakchi ldid bezzaf.,It was absolutely delicious.,كان داكشي لديد بزّاف.
TTayaran makhaybch bezzaf!,Flying isn't so bad!,الطيران ماخايبش بزّاف!
rah kan chokolat kaydir shal!,It was chocolate laxative!,راه كان شكلاط كايدير سهال!
"maklitihch, yak?","You haven't eaten it, have you?","ماكليتيهش, ياك?"
kayban lia ghadi ykhSni nbeddel lblaSa...,I think I'm gonna have to switch places...,كايبان ليا غادي يخصني نبدّل لبلاصة...
lil 2assaf kan 3ndi lkorsi li f l couloir.,It's a shame I've got the aisle seat.,للأسف كان عندي الكرسي لي فل كولوار.
"iwa.... sba7 lkhir, doctor.","Well.... Good morning, Doctor.","إوا.... صباح الخير, دكتور."
sba7 lkhir.,Good morning.,صباح الخير.
ki kat7ess lyouma?,How are you feeling today?,كي كاتحسّ ليوما?
bikhir--dertha!,Great--I did it!,بيخير--درتها!
tfre9t m3ah!,I left him!,تفرقت معاه!
tfar9ti akhiran m3a sa7bek?,You finally split up with your boyfriend?,تفارقتي أخيرا معا صاحبك?
o ki kat7essi?,And how are you feeling?,و كي كاتحسّي?
7orra?,Free?,حرة?
mrta7a?,Relieved?,مرتاحة?
 'sa7bi' hahahaha,My 'friend' hahahaha,'صاحبي' هاهاهاها
"kan rajli, walakin sa7bi?","He was my husband, but my friend?","كان راجلي, و لكن صاحبي?"
"3refti, kan kay7sab lik makentch 3arfah ach kaydir howa o Maryam fach kano kaygoulo lia rah kayl3bo l hond...","You know, he thought I didn't know what him and Maryam were doing when they said they were playing handball...","عرفتي, كان كايحساب ليك ماكنتش عارفاه أش كايدير هو و مريم فاش كانو كايڭولو ليا راه كايلعبو ل هوند..."
"mazal chab, walakin hadchi makaychfe3ch lih 3la dik l anania dialo.","He's young, but that doesn't excuse his selfishness.","مازال شاب, و لكن هادشي ماكايشفعش ليه على ديك ل أنانية ديالو."
"o aham men hadchi, had l3ala9a kant kaDDerek.","And most importantly, this relationship was hurting you.","و أهم من هادشي, هاد لعلاقة كانت كاضّرك."
"walakin majawbtinich, kikat7essi daba, mora ma tfar9ti m3ah?","But you didn't answer me, how do you feel now, after leaving him?","و لكن ماجاوبتينيش, كيكاتحسّي دابا, مورا ما تفارقتي معاه?"
kifma guelt lik flowl: bikhir!,As I said in the beginning: great!,كيفما ڭولت ليك فلول: بيخير!
"3rfti, nta katsenneT lia 7sen menno howa... kanDen hadchi 3lach men dima nta 3ziz 3lia.","You know, you listen to me more than he ever did... I think that's why I've always been so attached to you.","عرفتي, نتا كاتسنّط ليا حسن منّو هو... كانضن هادشي علاش من ديما نتا عزيز عليا."
"7di rask, ana ghir Tbib nfsani dialk!","Be careful, I'm only your psychiatrist!","حضي راسك, أنا غير طبيب نفساني ديالك!"
achno kay7sab lik kat3rfi b DebT?,What do you think you know exactly?,أشنو كايحساب ليك كاتعرفي ب ضبط?
ana 3arf anna hadchi machi beSSa7,I know that's not true.,أنا عارف أن هادشي ماشي بصّاح
3lach kay7sab lik khellito?,Why do you think I left him?,علاش كايحساب ليك خلّيتو?
kan hadchi bach nkono m3a b3Diyatna,It was so that we could be together.,كان هادشي باش نكونو معا بعضياتنا
wach ghadi dir rask annak makentich kaddir dakchi li kenti kaddir had tlt snin li doweztha m3ak f l3ilaj?,Are you going to pretend that you haven't been doing what you've been doing these past three years that I've been in therapy with you?,واش غادي دير راسك أنّك ماكنتيش كادّير داكشي لي كنتي كادّير هاد تلت سنين لي دوزتها معاك ف لعلاج?
rak kat7eTTini f wD3ia S3iba.,You're putting me in a difficult position.,راك كاتحطّيني ف وضعية صعيبة.
ana rah Tbib nefsi dialk.,I'm your psychiatrist.,أنا راه طبيب نفسي ديالك.
"fach kantSenneT lik o kanhder m3ak, rah 3la 9bel attawazon annafsi dialk, 7it hadi khdmti.","When I listen to you and I talk to you, it's for your psychological balance, because it's my job.","فاش كانتصنّط ليك و كانهضر معاك, راه على قبل التوازن النفسي ديالك, حيت هادي خدمتي."
wach kenti katl3b bia had lw9t kaml?,Have you just been playing with me all this time?,واش كنتي كاتلعب بيا هاد لوقت كامل?
"katmettel annak baghi t3rf kidaz nhari, ki kan7ess, 3layach kan9elleb f l7ayat?","PRETENDING to want to know how my day was, how I felt, what I was looking for in life?","كاتمتّل أنّك باغي تعرف كيداز نهاري, كي كانحسّ, علاياش كانقلّب ف الحياة?"
katl3b bia... nta... nta...,Playing with me... you... you...,كاتلعب بيا... نتا... نتا...
"machi kanl3b, rah hakka kaykon l3ilaj annafsi.","It's not a game, that's how therapy happens.","ماشي كانلعب, راه هاكّا كايكون العلاج النفسي."
"sm3i, kanDen annaho khaSS tfekri achno bghiti men 3nd Tbib nefsi dialk.","Look, I think you should think about what you want from your psychiatrist.","سمعي, كانضن أنّه خاصّ تفكري أشنو بغيتي من عند طبيب نفسي ديالك."
ymken khaSSk tmchi t3alji 3nd chi Tbib nefsi akhor.,Maybe you should go to therapy with another psychiatrist.,يمكن خاصّك تمشي تعالجي عند شي طبيب نفسي أخور.
"7it kan7ess, anna f dmaghk, l omor mkhtalfa 3la kifach khaSSha tkon bach ykhdm had l3ilaj.","Because now I feel, in your mind, things are different from what they should be to make this happen.","حيت كانحسّ, أن ف دماغك, ل أمور مختالفة على كيفاش خاصّها تكون باش يخدم هاد العلاج."
Hah-- rah kanmchi 3nd wa7d Tbib nfsi akhor!,Hah--I've BEEN seeing another psychiatrist!,هاه-- راه كانمشي عند واحد طبيب نفسي أخور!
ga3ma 3reftiha!,You didn't even know it!,ڭاعما عرفتيها!
kay7sab lik rask dki... katl3b bia had lmodda kamla... kan kerhek...,You think you're so smart... playing with me all this time... I HATE you...,كايحساب ليك راسك دكي... كاتلعب بيا هاد لمدة كاملة... كنكرهك...
kayban lia nsaliw had lli9a2 daba.,I think we're going to end this meeting now.,كايبان ليا نساليو هاد اللقاء دابا.
"bl monasaba, ja lw9t dial lmriD jjay diali.","By the way, it's time for my next patient.","بل مناسبة, جا لوقت ديال لمريض الجاي ديالي."
o nta?,What about you?,و نتا?
"lla walo, kayban hadchi kaykhle3!","No not all, it looks very creepy!","لا والو, كايبان هادشي كايخلع!"
bezzaf ga3.,Very much so.,بزّاف ڭاع.
wach 3ndk chi bawSala?,Do you have a compass?,واش عندك شي بوصلة?
nchoufo fl khariTa.,We'll look on the map.,نشوفو فل خريطة.
lla ma3ndi la bawSala la khariTa.,No I dont have a compass or a map.,لا ماعندي لا بوصلة لا خريطة.
njereb tilifoun - walakin makaynch rizo.,I could try my phone - but there is no reception.,نجرب تيليفون - و لكن ماكاينش ريزو.
yallah n7awlo nrj3o mnin jina,Let's try going back the way we came,يالله نحاولو نرجعو منين جينا
7sab lia rah khditi m3ak lbawSala...,I thought you were taking the compass...,حساب ليا راه خديتي معاك لبوصلة...
wach tilifounk fih w7da?,Does your phone have one?,واش تيليفونك فيه وحدا?
"fih GPS, makay7tajch conneksion.","It's got GPS, it doesn't need a connection.","فيه جي بي اس, ماكايحتاجش كونكسيون."
3ndi lkhariTa.,I've got the map.,عندي الخريطة.
"lla, guelti ghadi takhd m3ak lbawSala.","No, you said you were taking the compass.","لا, ڭولتي غادي تاخد معاك لبوصلة."
o lkhariTa.,And the map.,و الخريطة.
"ghadi ykhSna nzerbo, bda kayTi7 Dlam","We'll have to hurry, it's getting dark already","غادي يخصنا نزربو, بدا كايطيح ضلام"
wakha.,Okay.,واخا.
lil assaf.,Too bad.,للأسف.
ghadi ndiro kimma guelti o n7awlo nrj3o mnin jina.,We'll do as you said and try to retrace our steps.,غادي نديرو كيمّا ڭولتي و نحاولو نرجعو منين جينا.
3ndi ppil.,I've got a flashlight.,عندي الپيل.
"lla, ila kant 3ndk lkhariTa an9dro nchofo wach kayna chi Tri9 9Ser tkherrejna men hna.","No, if you have the map we could see if there is a shorter route out of here.","لا, إلا كانت عندك الخريطة أنقدرو نشوفو واش كاينا شي طريق قصر تخرّجنا من هنا."
"ghadi ykhSona sway3 bach nrj3o mnin jina, f DDlam, o f wsT ga3 had lghiss ...","It will take us hours to get back the way we came, in the dark, and through all that mud ...","غادي يخصونا سوايع باش نرجعو منين جينا, ف الضلام, و ف وسط ڭاع هاد لغيس ..."
"bessa7, m3a had chta dial had Sba7, lerD mghiyssa.","Sure, with the rain from this morning, the ground is very muddy.","بصح, معا هاد شتا ديال هاد صباح, لرض مغيسا."
walakin bla bawSala s3ib t3rf mnin trj3 wakha bl khariTa.,But without a compass it's hard to know which way to return even with the map.,و لكن بلا بوصلة صعيب تعرف منين ترجع واخا بل خريطة.
"walakin melli 7na men ljanoub, kanDen ghadi ndowzo hadchi...","But since we're from the south, I think we'll get through this...","و لكن ملّي حنا من الجنوب, كانضن غادي ندوزو هادشي..."
o ghadi ymken tchouf Tri9 wla lvilaj men lfo9.,Then we may be able to see the road or the village from the top.,و غادي يمكن تشوف طريق ولا لڤيلاج من لفوق.
ghir nwSlo Tri9 ghadi ykon hadchi sahel.,Once we rach the road it will be easy.,غير نوصلو طريق غادي يكون هادشي ساهل.
hadi fikra momtaza.,That's a great idea.,هادي فكرة ممتازة.
ila Tl3na f had lhaDaba ghadi tweli 3ndna choufa meziana o l vilaj aykon mDowwi idan ghadi nchofoh b sohoula bach n3rfo l ittijah li anmchiw fih.,Going up on that hill will give us the right visibility and the village will be lit up so we can spot him easily to go in the right direction.,إلا طلعنا ف هاد لهضبة غادي تولي عندنا شوفة مزيانة و ل ڤيلاج أيكون مضوّي إذن غادي نشوفوه ب سهولة باش نعرفو ل إتجاه لي أنمشيو فيه.
yallah nemchiw!,Let's go!,يالّاه نمشيو!
ila l9ina l7jer ghadi nkono flblaSa lmonassiba,If we find the rocks we should be in the right place,إلا لقينا لحجر غادي نكونو فلبلاصة المناسبة
ma kan3erfouch,I don't know him.,ما كانعرفوش
mamt2ekkedch annani baghi nrmi l7jer.,I'm not sure I want to throw up rocks.,مامتأكدش أنني باغي نرمي لحجر.
"walakin wakha, yallah nmchiw.","But okay, let's go.","و لكن واخا, يالّاه نمشيو."
ghadi n9Diw lgharad.,We're gonna make it.,غادي نقضيو الغرض.
"mtaf9, zeffan bl7jer maghadi yddina l ta blaSa.","I agree, throwing rocks around will get us nowhere.","متافق, زفّان بلحجر ماغادي يدّينا ل تا بلاصة."
ghadi ykhSna n7tafDo 3la TTa9a dialna 3la 9bel Tel3a o nnezla.,We need to save our energy for the climb and the long walk down.,غادي يخصنا نحتافظو على طاقة ديالنا على قبل طلعة و نزلة.
b Tabi3t l7al.,Absolutely.,ب طبيعة الحال.
"ayeh, 3ndek SSe7.","Yes, you're right.",آيه، عندك صح.
yallah nreDo balna.,Let's be careful.,يالله نردو بالنا.
"walakin f jami3 l7alat, hadchi mezian 9errebna l villaj.","But anyway, it's nice we almost got to the village.",ولكن في جميع الحالات، هادشي مزيان قربنا للڤيلاج.
"katban chwia fchkel, wach nta bikhir?","You look a little worried, are you ok?",كاتبان شوية فشكل، واش نتا بيخير؟
machi mezian.,Not good.,ماشي مزيان.
makay3jbnich nTir ga3 fach ykon ljow khayb b7al lyouma.,I don't like to fly at all on bad weather like today.,مكايعجبنيش نطير گاع فاش يكون الجو خايب بحال اليوم.
rah s3iba walakin rah sm3ti l ga3 t3limat dial aTTa9am idan rak derti ga3 dakchi li f sTiTa3tek.,It is difficult but you ve listened to all the instructions from the crew so you have done everything you can,راه صعيبة ولكن راه سمعتي لگاع تعليمات ديال الطاقم إذن راك درتي گاع داكشي لي في استطاعتك.
wach y9der atterfih y3awn?,Would distraction help?,واش يقدر الطرفيه يعاون؟
atta3limat dial aTTa9am makat3awnch bezzaf fach katkon khayf TTir!,Instructions from the crew don't help much when you're afraid of flying!,التعليمات ديال الطاقم مكاتعاونش بزاف فاش كاتكون خايف طير!
ma3ndhom maydiro l idTirabat!,They can't do anything about the turbulence!,ماعندهم مايديرو للإضطرابات!
3reft annaha s3iba b nisba lik 7it lkhl3a o lojik makaytjm3och 3adatan,I know it is difficult for you as fear and logic don't always go hand in hand,عرفت أنها صعيبة ب نسبة ليك حيت الخلعة و اللوجيك مكايتجمعوش عادتان
tbghi tl3eb alkarta bach matb9ach tfekker f hadchi?,Would you like to play a card game to take your mind off it all,تبغي تلعب الكارطة باش ماتبقاش تفكر ف هادشي؟
"ayeh, lojik assara7a bghatna ndkhlo l rasna anna aTTiyara hia aktar wasila dial anna9l aman.","Yes, actually the logic would want us to get in the head that the plane is the safest transport.",آيه، لوجيك الصراحة بغاتنا ندخلو ل راسنا أننا الطيارة هي أكتر وسيلة ديال النقل آمان.
ghadi nl3b alkarta.,I'll play a card game.,غادي نلعب الكارطة.
hadchi ghadi ykheli balk melhi.,That'll keep my mind occupied.,هادشي غادي يخلي بالك مليح.
achmen l3bat 3zaz 3lik?,What games do you like?,أشمن لعبة عزاز عليك؟
Poker!,Poker!,بوكر!
wla 3lach mat9tare7ch chi 7aja,Or why don't you suggest something,ولا علاش ماتقترحش شي حاجة
"Ah, nl3b poker.","Ah, I'll play poker.",آه، نلعب بوكر.
hadi hia ll3ba lwa7ida li kan3rf,It's the only game I know!,هادي هي اللعبة الوحيدة لي كانعرف
"walakin goul lia, makatbanch lia mstrissi bezzaf.","But tell me, you don't seem very stressed.",ولكن قول ليا، مكاتبانش ليا مسترسي بزاف.
ghadi njbed lkarTa diali men daba da9i9a,I ll get my cards out in a minute,غادي نجبد الكارطة ديالي من دابا دقيقة
kanrkeb f Tyara bezzaf ghir 7awl matfekertch bezzaf fl ms2ala,I fly quite often and just try not to think about the process too much,كانركب ف طيارة بزاف غير حاول ماتفكرتش بزاف فالمسألة
kanDen annaho aham 7aja hia annaho s3ib matkounch kat7ekkem f kolchi,I think the main thing is that it is difficult not to be completely in control,كانظن أنها أهم حاجة هي أنها صعيب ماتكونش كاتحكم ف كلشي
b7al ila 3ndk chi 3amalia,It is similar to having an operation,بحال إيلا عندك شي عملية
mat9der illa annak tti9 fl bennaj,You just have to trust the anaesthetist,ماتقدر إلا أنك تتيق فالبناج
"ayeh, kayna.","Yes, I do.",آيه، كاينة.
lli mezian fl3amalia howa annak katkon na3es fiha!,The upside with an operation is that you sleep during!,اللي مزيان فالعملية هوا أنك كاتكون ناعس فيها!
nta msafer 3la 9bel lkhdma dialk wla ghir tourist?,Do you travel for your work or a tourist?,نتا مسافر على قبل الخدمة ديالك ولا غير توريست؟
mora TTer7 dial lkarta kayban lia nmchiw ncherbo chi 7aja o n7awlo nne3so,After our game maybe we should both have a drink and try to sleep,مورا ترح ديال الكارطة كايبان ليا نمشيو نشربو شي حاجة و نحاولو ننعسو
hani anmchi njib lkarta daba,I ll get the cards now,هاني غانمشي نجيب الكارطة دابا
"wla ghir nne3so o safi, thella f rask daba","Maybe we should just sleep, bye for now",ولا غير ننعسو و صافي، ذل في راسك دابا
"ayeh, chi kwiyess dial l9hwa ghadi ynf3ni mezian.","Yes, a good cup of coffee will do me great.",آيه، شي قهوة غادي ينفعني مزيان.
yallah nbdaw TTer7.,"Come on, let's start the game.",يالله نبداو ترح.
"FaTima, 3afak khelini nfekker fih, baghi nrta7.","Fatima, please let me worry about it, I want to rest.",فاطمة، عافاك خليني نفكر فيه، باغي نرتاح.
nta dima mrta7.,You're always resting.,نتا ديما مرتاح.
yallah nemchiw nDerbo chi dwira o nTl3o f dik lkodia lli temma.,Let's go for a walk and climb that hill over there.,يالله نمشيو نضربو شي دورة و نطلعو ف ديك القدية لي تما.
hadchi ghadi y3tik b3da 3layach tsara7.,That will give you something to rest for.,هادشي غادي يعطيك بعدا علياش تصراح.
"zwin bezzaf, khassk tjerreb","It's very nice, you should try",زوين بزاف، خاصك تجرب
man9derch nb9a gals 7da la pissin.,I can't just lie by the pool.,مانقدرش نبقى جالس حدا البيسين.
ma3ndkch chi ktab wla chi chabaka?,Don't you have a book or crossword puzzles?,ماعندكش شي كتاب ولا شي شبكة؟
"n9der n3tik ktab dial arrosoum, jebt m3aya ktab dial arrosoum","I can give you a comic book, I've brought a comic book.",نقدر نعطيك كتاب ديال الرسوم، جبت معايا كتاب ديال الرسوم
makay3jbonich lktouba dial arrossoum.,I don't like comics.,مكايعجبونيش الكتوب ديال الرسوم.
3ndi 9tira7.,I have a suggestion.,عندي اقتراح.
ila mchina ntmechaw daba ghadi ngless b houdou2 f jenb la pissine lmoddat neS sa3a men b3d.,If we go for the walk now I will lie quietly by the pool for 30 minutes afterwards.,إيلا مشينا نتمشاو دابا غادي نجلس ب هدوء ف جنب البيسين المدة نص ساعة من بعد.
maghadi ngoul 7ta kelma.,I won't say a word.,ماغادي نقول حتى كلمة.
maghadich nSed3ek ga3.,I won't bother you at all.,ماغاديش نصدقك گاع.
wach katfella?,Are you kidding?,واش كاتفلا؟
ghadi ntmechaw lmoddat sa3a o neS o men b3d maghadich yb9a lina 7ta lwe9t bach nrj3o l la pissine.,We're gonna walk for an hour and a half and then we won't even have time to get back by the pool.,غادي نتمشاو المدة ساعة و نص و من بعد ماغاديش يبقى لينا حتى وقت باش نرجعو ل البيسين.
nta ra2i3 blm39ol.,You're really amazing.,نتا رائع بالمقول.
ila bghitina ntmechchaw ghedda,If you want us to walk tomorrow,إيلا بغيتينا نتمششاو غدا
ghadi nb9a saket ghir 20 da9i9a Safi.,I will only stay quiet for 20 minutes.,غادي نبقى ساكت غير 20 دقيقة صافي.
wach tafe9na?,Do we have a deal?,واش تافقنا؟
Ayeh.,All right.,آيه.
"o men be3d, kanwa3dek ghadi nkon morafi9 7sen fl3oTla.","And then, I promise, I'll be a nicer vacation companion.",و من بعد، كانواعدك غادي نكون مرافق حسن فالعطلة.
Oh chokran.,Oh thanks.,أوه شكران.
3reft ana wa3er bezzaf.,I know I'm really amazing.,عرفت أنا واعر بزاف.
ghadi njib mancherbo.,I'll get the drinks.,غادي نجيب منشربو.
achno bghiti?,What would you like?,اشنو بغيتي؟
bghit 3aSir dial limoun.,I'll have an orange juice.,بغيت عصير ديال ليمون.
"sme7 lia ma7amelch nriyeb l7efla, walakin rani 3iyan dial beSSa7.","I'm sorry to be such a party pooper, but I'm really tired.",سمح ليا ماحاملش نريب الحفلة، ولكن راني عيان ديال بصح.
wakha anjib l3aSa2ir dial limoun.,Ok I'll get the orange juices.,واخا أنجيب العصائر ديال ليمون.
o men b3d kanwa3dek ankhellik 3la ra7tek o nmchiw ghedda ntmechchaw ghir chwia.,Then I promise to leave you alone and we will go for a shorter walk tomorrow.,و من بعد كانواعدك أنخليك على راحتك و نمشيو غدا نتمششاو غير شويا.
mchina?,Shall we?,مشينا؟
"kay3jbni la pissin, walakin maghadich nb9aw hna l3chia kamla!","I like the pool, but we're not gonna be here all afternoon!",كايعجبني البيسين، ولكن ماغاديش نبقاو هنا العشية كاملة!
mabitich tmchi tDrb Tl3a Sghira ljbl?,Don't you want to take a little hike?,مابيتيش تمشي تضرب طلعة صغيرة للجبل؟
jbal zinine hnaya!,The mountains are beautiful here!,جبال زينين هنايا!
Oh biti t9Sd nkherjo?,Oh you mean go out?,أو بيتي تقصد نخرجو؟
"ayeh, ayeh, dowzna tlata dial sway3 f lapissin.","Yeah, yeah, we spent three hours at the pool.",آيه، آيه، دوزنا تلاتة ديال السوايع فالبيسين.
"jani lmalal, o nta?","I'm getting a little bored, aren't you?",جاني الملل، و نتا؟
ana nacheT.,I'm in heaven.,أنا ناشط.
mafhmtch kifach ymken tkon fer7an o nta makaddir walo lmoddat sa3at.,I don't understand how you can be happy about doing nothing for hours.,مافهمتش كيفاش يمكن تكون فرحان و نتا ماكادير والو المدة ساعات.
hadchi maymkench nfhmo ana.,It's totally incomprehensible to me.,هادشي مايمكنش نفهمو أنا.
3reft.,I know.,عرفت.
idan biti tb9a galess hna tani?,So you want to stay here again?,إيدان بيتي تبقى جالس هنا تاني؟
Dreb tSawer.,Take pictures.,درب تصاور.
werrini men b3d.,Show me later.,وريني من بعد.
"lla lla, mabaghich nmchi bo7di, hadchi ma3ndo ta m3na.","No no, I don't want to go alone, it's absurd.",لا لا، مابغيتش نمشي بوحدي، هادشي ماعندو تا معنى.
"o merra khra, fach tbghi ddir 7ajat mkhtalfin, katl9a rask kaddir lli bghiti.","But once again, when you want to do different things, you end up doing whatever you want.",و مرة خرى، فاش تبغي دير حاجات مختالفين، كاتلقى راسك كادير للي بغيتي.
idan 3ndna wa7d lmochkil.,Then we have a dilemma.,إيدان عندنا واحد المشكل.
hadchi dima hakka.,It's always like that.,هادشي ديما هكا.
kan7ess annaho nta mamSowwe9ch l dmaghi.,I feel like you don't give a shit about my mind.,كانحس أنهو نتا مامصوقش لدماغي.
"hadchi S3ib, frask.","It's hard, you know.",هادشي صعيب، فراسك.
iwa daba maymkench nrta7 wana 3arfk ma rach9ach lik.,Well now I can't relax knowing you're unhappy.,إوا دابا مايمكنش نرتاح وأنا عارفك ما راشقاش ليك.
achno khaSna ndiro?,What shall we do?,أشنو خاصنا نديرو؟
ach ban lik f wa7d l ittifa9?,How about a compromise?,أش بان ليك في واحد الإتفاق؟
